W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0.7562,0.658,0,1,0,1,0,1,1.000,-0.438,0,1,0,1,0.9447,0.2399,0.9998,0.1673,0.9998,-0.711,0,1,0,1,0.9999,0.5301,0.9999,0.3413,0.9988,-0.278,0,1,0,1,0.9999,-0.443,1.000,0.6425,0.0833,0.0833,0.9986,0.6364,0,1,0,1,0,1,0.9999,0.6642
3,5,1500,0.7732,0.6436,0,1,0,1,0,1,1.000,-0.44,0.9986,0.5553,0,1,1.000,0.4146,1.000,0.3112,0.9997,-1.255,0,1,0,1,1.000,0.579,0.9997,0.4698,0.9998,-0.10,0,1,0,1,0.9998,-0.092,1.000,0.6616,0.0833,0.0833,0.9602,0.4738,0,1,0,1,0,1,1.000,0.6403
3,5,2000,0.8235,0.6393,0,1,0,1,0,1,0.9996,-0.772,0.9981,0.4907,0,1,1.000,0.5314,1.000,0.2872,1.000,-1.345,0,1,0,1,0.9999,0.4059,0.9999,0.4714,0.9997,-0.143,0,1,0,1,1.000,0.0817,1.000,0.6455,0.0833,0.0833,0.9062,0.4769,0,1,0,1,0,1,1.000,0.6392
3,6,1000,0.6796,0.6268,0,1,0,1,0,1,0.9999,0.1325,0,1,0,1,0.9999,0.4156,0.9999,0.3897,0.9984,0.2733,0,1,0,1,1.000,0.7442,0.9165,0.6261,0.7236,0.0494,0,1,0,1,0.9999,0.5874,1.000,0.7564,0.2562,0.0472,0.8541,0.6542,0,1,0,1,0,1,0.9999,0.6402
3,6,1500,0.8624,0.6661,0,1,0,1,0,1,1.000,0.2665,1.000,0.9544,0,1,1.000,0.358,1.000,0.3403,0.9996,-0.093,0,1,0,1,1.000,0.7147,0.7387,0.4341,0.8470,-0.084,0,1,0,1,1.000,0.708,1.000,0.7262,0.2723,-0.006,0.7069,0.4062,0,1,0,1,0,1,1.000,0.6514
3,6,2000,0.8881,0.6647,0,1,0,1,0,1,1.000,0.1108,1.000,0.9399,0,1,1.000,0.2924,1.000,0.5203,0.9999,0.0337,0,1,0,1,1.000,0.6719,0.7844,0.4116,0.9999,-0.124,0,1,0,1,1.000,0.7349,1.000,0.7151,0.286,0.0543,0.6775,0.2639,0,1,0,1,0,1,0.9999,0.6498
3,7,1000,0.6706,0.6253,0,1,0,1,0,1,0.9997,0.5583,0,1,0,1,1.000,0.518,0.9999,0.2794,0.5625,-0.709,0,1,0,1,1.000,0.4588,1.000,0.3229,1.000,0.0391,0,1,0,1,1.000,0.5225,0.9928,0.7222,0.3636,-0.075,0.7744,0.6612,0,1,0,1,0,1,1.000,0.6504
3,7,1500,0.8242,0.6508,0,1,0,1,0,1,1.000,0.5785,0.3052,0.2267,0,1,1.000,0.7395,0.9999,0.246,0.5548,-0.931,0,1,0,1,1.000,0.5057,1.000,0.2628,0.9998,0.0723,0,1,0,1,0.9586,0.5775,1.000,0.715,0.295,-0.123,0.7474,0.3815,0,1,0,1,0,1,0.9959,0.642
3,7,2000,0.8216,0.6489,0,1,0,1,0,1,0.9999,0.4567,0.3770,0.2315,0,1,1.000,0.7094,1.000,0.0806,0.5867,-0.818,0,1,0,1,1.000,0.4603,0.9993,0.275,0.9999,0.0903,0,1,0,1,0.9788,0.7017,1.000,0.645,0.2742,-0.132,0.6673,0.2358,0,1,0,1,0,1,0.9999,0.6341
