W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,8,1000,0.8411,0.7072,0,1,0,1,0,1,0.9999,0.6256,0.2225,-0.138,0,1,0.9999,0.5367,0.9998,0.2578,0.9374,-0.273,0.9995,0.5872,0,1,0.9998,0.4059,0.9982,-0.052,0.9971,-1.153,0,1,0,1,0.9998,0.4814,1.000,0.7261,0.2954,-0.830,0.9997,0.7376,0,1,0,1,0,1,1.000,0.7441
3,8,1500,0.8336,0.6772,0,1,0,1,0,1,1.000,0.6089,0.2411,-0.297,0,1,1.000,0.5831,0.9783,0.1533,0.7918,-0.446,0.9983,0.4311,0,1,1.000,0.3417,0.9998,0.1042,0.9998,-0.458,0.3132,0.2268,0,1,1.000,0.5853,1.000,0.7214,0.2788,-1.011,0.9998,0.7396,0,1,0,1,0,1,1.000,0.7147
3,8,2000,0.8572,0.6867,0,1,0,1,0,1,0.9999,0.6314,0.2931,-0.315,0,1,0.9532,0.5608,0.9858,0.1758,0.8413,-0.451,0.9994,0.2014,0,1,1.000,0.323,0.9984,0.055,1.000,-0.538,0.3078,0.1986,0,1,1.000,0.4958,1.000,0.6806,0.2781,-1.095,1.000,0.7307,0,1,0,1,0,1,1.000,0.7028
3,9,1000,0.9498,0.7607,0,1,0,1,0,1,1.000,0.3403,0.5833,-0.029,0,1,1.000,0.6243,1.000,0.3027,0.9995,-0.612,0.9267,0.7178,0,1,0.8530,0.5515,0.9958,0.5138,1.000,0.6303,0,1,0,1,0.9999,0.6473,0.9403,0.6845,0.3307,0.0722,0.8054,0.28,0,1,0,1,0,1,1.000,0.6603
3,9,1500,0.9305,0.7244,0,1,0,1,0,1,0.9999,0.2666,0.5554,-0.235,0,1,1.000,0.6544,0.9995,0.2955,0.9999,-0.432,0.9515,0.7633,0,1,0.8618,0.5938,0.8554,0.4897,0.9992,0.4711,0.3915,0.3504,0,1,0.9999,0.6287,1.000,0.7668,0.3468,0.0012,0.8041,0.0903,0,1,0,1,0,1,1.000,0.6329
3,9,2000,0.9106,0.6883,0,1,0,1,0,1,1.000,0.3449,0.6387,-0.170,0,1,1.000,0.6351,0.9995,0.3488,0.9999,-0.41,0.923,0.7232,0,1,0.9087,0.5738,0.7782,0.4215,0.9999,0.4977,0.3865,0.3443,0,1,0.9433,0.5627,1.000,0.7533,0.3355,-0.019,0.7937,-0.120,0,1,0,1,0,1,1.000,0.648
3,10,1000,0.8761,0.712,0,1,0,1,0,1,0.9999,0.3277,0.38,0.1346,0,1,1.000,0.6664,1.000,0.6412,0.8101,0.1344,0.9604,0.7011,0,1,1.000,0.7008,0.9398,0.25,0.9998,0.5467,0,1,0,1,1.000,0.3161,0.9999,0.7117,0.4428,0.1578,0.9996,0.6291,0,1,0,1,0,1,1.000,0.608
3,10,1500,0.8510,0.6803,0,1,0,1,0,1,1.000,0.2817,0.3823,-0.114,0,1,0.9998,0.6048,1.000,0.6226,0.8101,0.1832,0.9994,0.7418,0,1,1.000,0.5581,1.000,0.3886,0.7892,0.4067,0.235,0.1892,0,1,0.9302,0.4497,1.000,0.7258,0.4433,0.1586,0.9999,0.4617,0,1,0,1,0,1,0.9999,0.5933
3,10,2000,0.8572,0.6789,0,1,0,1,0,1,1.000,0.3043,0.3916,-0.127,0,1,1.000,0.6322,1.000,0.6576,0.8184,0.1472,0.9997,0.7474,0,1,1.000,0.4106,1.000,0.4369,0.7882,0.3492,0.2742,0.22,0,1,0.9714,0.4969,1.000,0.7086,0.4383,0.1522,1.000,0.513,0,1,0,1,0,1,1.000,0.6263
3,20,1000,0.8587,0.7954,0,1,0,1,0,1,1.000,0.8094,0.6074,0.5115,0,1,0.9997,0.7620,0.9724,0.7607,0.8356,0.3814,0.6066,0.5511,0,1,1.000,0.7029,0.8977,0.6806,0.6544,0.4641,0,1,0,1,1.000,0.7154,1.000,0.7735,0.2194,0.0721,0.9828,0.7926,0,1,0,1,0,1,1.000,0.7591
