W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0.9999,0.606,0,1,0,1,0,1,0.9213,-0.919,0.9605,0.0408,0,1,1.000,0.5719,1.000,0.1825,1.000,-0.453,0.9966,0.3572,0,1,0.9999,0.4493,0.6751,-0.233,1.000,-0.573,0.8801,0.6127,0,1,0.9999,-0.264,0.9999,0.5181,0.8818,0.05,0.8646,0.4778,0,1,0,1,0,1,1.000,0.6534
3,5,1500,0.9997,0.6267,0,1,0,1,0,1,0.9992,-0.959,0.9992,-0.466,0.7147,0.6636,1.000,0.5784,1.000,0.2174,0.9999,-1.105,0.9999,-0.761,0.6723,0.6667,1.000,0.440,0.6931,-0.417,0.9985,-1.594,0.9435,0.2798,0.683,0.5235,1.000,-0.062,0.9999,0.4435,1.000,-0.008,0.7536,0.0233,0,1,0,1,0,1,0.9999,0.6606
3,5,2000,0.9975,0.5136,0,1,0,1,0,1,0.9999,-0.612,0.9987,-0.392,0.7191,0.6377,1.000,0.5679,1.000,0.3065,1.000,-0.959,1.000,-0.897,0.7242,0.6573,0.9999,0.3672,0.6928,-0.523,0.9999,-1.591,0.9103,0.3489,0.7148,0.5452,0.9999,0.0617,0.9981,0.3838,0.9998,0.0942,0.742,0.0233,0,1,0,1,0,1,1.000,0.6646
3,6,1000,0.9999,0.6114,0,1,0,1,0,1,0.9998,0.0383,1.000,0.583,0,1,0.9999,0.452,1.000,0.0586,1.000,0.3397,0.8415,0.6570,0,1,1.000,0.7375,1.000,0.6294,0.7800,0.2719,0.5985,0.2061,0,1,1.000,0.5531,1.000,0.7488,0.4227,0.1388,0.6667,0.2408,0,1,0,1,0,1,0.9999,0.6016
3,6,1500,0.9998,0.5628,0,1,0,1,0,1,1.000,0.165,1.000,0.3573,0.8106,0.783,1.000,0.504,1.000,0.3707,1.000,0.2193,0.9990,0.6469,0.8125,0.8097,1.000,0.7590,0.9999,0.5410,0.9350,0.2723,0.5994,0.2222,0.7320,0.63,1.000,0.5384,1.000,0.7397,0.4644,0.1728,0.6667,-0.076,0,1,0,1,0,1,1.000,0.5728
3,6,2000,0.9999,0.4553,0,1,0,1,0,1,1.000,-0.002,1.000,0.3413,0.8490,0.7751,0.9999,0.5508,1.000,0.3445,1.000,0.3023,0.9998,0.6303,0.7910,0.7545,1.000,0.7498,0.9227,0.4334,0.8857,0.2578,0.5991,0.2197,0.6782,0.6103,1.000,0.5806,1.000,0.7858,0.4427,0.1621,0.6883,-0.094,0,1,0,1,0,1,1.000,0.653
3,7,1000,1.000,0.6931,0,1,0,1,0,1,0.9999,0.6591,0.2981,-0.148,0,1,1.000,0.6132,1.000,0.44,0.5928,-0.483,0.9968,0.2437,0,1,0.9998,0.4867,0.8281,-0.034,0.9998,0.0874,0.2537,-0.120,0,1,0.9999,0.508,1.000,0.7361,0.5497,-0.026,0.7129,0.3514,0,1,0,1,0,1,1.000,0.6581
3,7,1500,0.9997,0.727,0,1,0,1,0,1,1.000,0.6512,0.3785,-0.278,0.7980,0.7573,0.9998,0.5674,1.000,0.2989,0.5942,-0.418,0.9938,0.2854,0.7605,0.7236,1.000,0.2929,0.824,-0.053,0.9235,-0.010,0.2857,-0.087,0.7023,0.5503,1.000,0.516,1.000,0.7241,0.5477,-0.105,0.6778,0.0433,0,1,0,1,0,1,1.000,0.6667
3,7,2000,0.9997,0.7237,0,1,0,1,0,1,1.000,0.5918,0.2594,-0.388,0.7973,0.7519,1.000,0.5553,1.000,0.1691,0.5745,-0.420,0.9999,0.2854,0.7601,0.6797,1.000,0.2643,0.8187,-0.163,0.8942,-0.01,0.2764,-0.101,0.6411,0.4833,0.9757,0.5242,1.000,0.7301,0.4589,-0.151,0.6673,0.0217,0,1,0,1,0,1,1.000,0.6667
