"positive", "compare_value"
0, 0.0
0, 0.4
0, 0.0
0, 0.19999999999999996
0, 0.08571428571428574
0, 0.1428571428571429
0, 0.3142857142857143
0, 0.0
0, 0.22857142857142854
1, 0.22857142857142854
0, 0.0
0, 0.4772727272727273
0, 0.0
0, 0.4545454545454546
0, 0.31818181818181823
0, 0.34090909090909094
0, 0.5454545454545454
0, 0.0
0, 0.5
1, 0.4545454545454546
0, 0.25
0, 0.4285714285714286
0, 0.2857142857142857
0, 0.4107142857142857
0, 0.4107142857142857
0, 0.2142857142857143
0, 0.4285714285714286
0, 0.5714285714285714
0, 0.3214285714285714
1, 0.4285714285714286
0, 0.3939393939393939
0, 0.36363636363636365
0, 0.2727272727272727
0, 0.3939393939393939
0, 0.2727272727272727
0, 0.303030303030303
0, 0.36363636363636365
0, 0.48484848484848486
0, 0.4242424242424242
1, 0.4242424242424242
0, 0.09999999999999998
0, 0.0
0, 0.14
0, 0.12
0, 0.18000000000000005
0, 0.12
0, 0.14
0, 0.18000000000000005
0, 0.12
1, 0.26
0, 0.18181818181818177
0, 0.18181818181818177
0, 0.11363636363636365
0, 0.11363636363636365
0, 0.11363636363636365
0, 0.18181818181818177
0, 0.2954545454545454
0, 0.34090909090909094
0, 0.18181818181818177
1, 0.34090909090909094
0, 0.4444444444444444
0, 0.4444444444444444
0, 0.33333333333333337
0, 0.2777777777777778
0, 0.3055555555555556
0, 0.36111111111111116
0, 0.4444444444444444
0, 0.38888888888888884
0, 0.33333333333333337
1, 0.5555555555555556
0, 0.2666666666666667
0, 0.30000000000000004
0, 0.09999999999999998
0, 0.1333333333333333
0, 0.23333333333333328
0, 0.30000000000000004
0, 0.3666666666666667
0, 0.43333333333333335
0, 0.43333333333333335
1, 0.43333333333333335
