"ngram_0","ngram_1","key","probability_key","ngram_weight"
1, 2, 0, 1.0, 2.49003984063745E-4
2, 0, 3, 0.3333333333333333, 0.00149402390438247
2, 0, 4, 0.3333333333333333, 0.00149402390438247
2, 0, 5, 0.3333333333333333, 0.00149402390438247
0, 3, 6, 0.2857142857142857, 0.0017430278884462151
0, 3, 7, 0.14285714285714285, 0.0017430278884462151
0, 3, 8, 0.14285714285714285, 0.0017430278884462151
0, 3, 9, 0.14285714285714285, 0.0017430278884462151
0, 3, 10, 0.14285714285714285, 0.0017430278884462151
0, 3, 4, 0.14285714285714285, 0.0017430278884462151
3, 6, 11, 0.25, 0.00199203187250996
3, 6, 12, 0.125, 0.00199203187250996
3, 6, 13, 0.125, 0.00199203187250996
3, 6, 1, 0.125, 0.00199203187250996
3, 6, 14, 0.125, 0.00199203187250996
3, 6, 15, 0.125, 0.00199203187250996
3, 6, 16, 0.125, 0.00199203187250996
9, 18, 17, 0.2, 0.001245019920318725
9, 18, 2, 0.2, 0.001245019920318725
9, 18, 14, 0.2, 0.001245019920318725
9, 18, 10, 0.2, 0.001245019920318725
9, 18, 8, 0.2, 0.001245019920318725
18, 17, 19, 0.3333333333333333, 7.47011952191235E-4
18, 17, 4, 0.3333333333333333, 7.47011952191235E-4
18, 17, 9, 0.3333333333333333, 7.47011952191235E-4
17, 19, 20, 0.25, 9.9601593625498E-4
17, 19, 4, 0.25, 9.9601593625498E-4
17, 19, 8, 0.25, 9.9601593625498E-4
17, 19, 21, 0.25, 9.9601593625498E-4
19, 20, 4, 0.5, 4.9800796812749E-4
19, 20, 10, 0.5, 4.9800796812749E-4
20, 4, 9, 0.5, 4.9800796812749E-4
20, 4, 12, 0.5, 4.9800796812749E-4
4, 9, 14, 0.2222222222222222, 0.0022410358565737054
4, 9, 22, 0.1111111111111111, 0.0022410358565737054
4, 9, 23, 0.1111111111111111, 0.0022410358565737054
4, 9, 12, 0.1111111111111111, 0.0022410358565737054
4, 9, 15, 0.1111111111111111, 0.0022410358565737054
4, 9, 0, 0.1111111111111111, 0.0022410358565737054
4, 9, 24, 0.1111111111111111, 0.0022410358565737054
4, 9, 2, 0.1111111111111111, 0.0022410358565737054
24, 5, 9, 0.40625, 0.00796812749003984
24, 5, 15, 0.09375, 0.00796812749003984
24, 5, 8, 0.375, 0.00796812749003984
24, 5, 6, 0.125, 0.00796812749003984
25, 25, 25, 0.2857142857142857, 0.0034860557768924302
25, 25, 26, 0.2857142857142857, 0.0034860557768924302
25, 25, 27, 0.07142857142857142, 0.0034860557768924302
25, 25, 2, 0.07142857142857142, 0.0034860557768924302
25, 25, 22, 0.14285714285714285, 0.0034860557768924302
25, 25, 17, 0.07142857142857142, 0.0034860557768924302
25, 25, 28, 0.07142857142857142, 0.0034860557768924302
10, 2, 28, 0.2, 0.001245019920318725
10, 2, 14, 0.2, 0.001245019920318725
10, 2, 24, 0.2, 0.001245019920318725
10, 2, 11, 0.2, 0.001245019920318725
10, 2, 23, 0.2, 0.001245019920318725
2, 28, 4, 0.5, 4.9800796812749E-4
2, 28, 10, 0.5, 4.9800796812749E-4
28, 4, 22, 0.3333333333333333, 7.47011952191235E-4
28, 4, 13, 0.6666666666666666, 7.47011952191235E-4
4, 22, 29, 0.058823529411764705, 0.004233067729083665
4, 22, 30, 0.4117647058823529, 0.004233067729083665
4, 22, 31, 0.17647058823529413, 0.004233067729083665
4, 22, 32, 0.058823529411764705, 0.004233067729083665
4, 22, 33, 0.11764705882352941, 0.004233067729083665
4, 22, 21, 0.058823529411764705, 0.004233067729083665
4, 22, 11, 0.058823529411764705, 0.004233067729083665
4, 22, 6, 0.058823529411764705, 0.004233067729083665
22, 29, 7, 0.5, 4.9800796812749E-4
22, 29, 1, 0.5, 4.9800796812749E-4
29, 7, 18, 1.0, 2.49003984063745E-4
7, 18, 9, 1.0, 2.49003984063745E-4
18, 9, 22, 0.5, 9.9601593625498E-4
18, 9, 16, 0.25, 9.9601593625498E-4
18, 9, 2, 0.25, 9.9601593625498E-4
9, 22, 21, 0.36363636363636365, 0.0027390438247011954
9, 22, 27, 0.09090909090909091, 0.0027390438247011954
