"ngram_0","ngram_1","key","probability_key","ngram_weight"
1, 2, 0, 0.5, 0.001946787800129786
1, 2, 3, 0.16666666666666666, 0.001946787800129786
1, 2, 4, 0.16666666666666666, 0.001946787800129786
1, 2, 5, 0.16666666666666666, 0.001946787800129786
2, 5, 6, 0.125, 0.0025957170668397143
2, 5, 7, 0.125, 0.0025957170668397143
2, 5, 5, 0.25, 0.0025957170668397143
2, 5, 8, 0.125, 0.0025957170668397143
2, 5, 9, 0.125, 0.0025957170668397143
2, 5, 10, 0.125, 0.0025957170668397143
2, 5, 11, 0.125, 0.0025957170668397143
5, 6, 12, 0.5, 6.489292667099286E-4
5, 6, 13, 0.5, 6.489292667099286E-4
1, 9, 14, 0.07692307692307693, 0.004218040233614536
1, 9, 15, 0.07692307692307693, 0.004218040233614536
1, 9, 5, 0.3076923076923077, 0.004218040233614536
1, 9, 8, 0.15384615384615385, 0.004218040233614536
1, 9, 0, 0.23076923076923078, 0.004218040233614536
1, 9, 16, 0.07692307692307693, 0.004218040233614536
1, 9, 1, 0.07692307692307693, 0.004218040233614536
15, 10, 15, 0.5, 6.489292667099286E-4
15, 10, 17, 0.5, 6.489292667099286E-4
10, 15, 18, 0.3333333333333333, 9.73393900064893E-4
10, 15, 19, 0.3333333333333333, 9.73393900064893E-4
10, 15, 20, 0.3333333333333333, 9.73393900064893E-4
21, 1, 15, 1.0, 6.489292667099286E-4
1, 15, 16, 0.05555555555555555, 0.005840363400389357
1, 15, 15, 0.05555555555555555, 0.005840363400389357
1, 15, 1, 0.1111111111111111, 0.005840363400389357
1, 15, 2, 0.2222222222222222, 0.005840363400389357
1, 15, 7, 0.16666666666666666, 0.005840363400389357
1, 15, 3, 0.16666666666666666, 0.005840363400389357
1, 15, 22, 0.05555555555555555, 0.005840363400389357
1, 15, 9, 0.05555555555555555, 0.005840363400389357
1, 15, 23, 0.05555555555555555, 0.005840363400389357
1, 15, 11, 0.05555555555555555, 0.005840363400389357
15, 16, 24, 0.2, 0.0016223231667748216
15, 16, 19, 0.2, 0.0016223231667748216
15, 16, 25, 0.2, 0.0016223231667748216
15, 16, 26, 0.2, 0.0016223231667748216
15, 16, 0, 0.2, 0.0016223231667748216
16, 24, 5, 1.0, 3.244646333549643E-4
18, 15, 17, 0.14285714285714285, 0.0022712524334847503
18, 15, 15, 0.42857142857142855, 0.0022712524334847503
18, 15, 2, 0.14285714285714285, 0.0022712524334847503
18, 15, 27, 0.14285714285714285, 0.0022712524334847503
18, 15, 5, 0.14285714285714285, 0.0022712524334847503
15, 17, 19, 0.5, 6.489292667099286E-4
15, 17, 1, 0.5, 6.489292667099286E-4
17, 19, 28, 0.25, 0.0012978585334198572
17, 19, 27, 0.5, 0.0012978585334198572
17, 19, 0, 0.25, 0.0012978585334198572
19, 28, 29, 1.0, 3.244646333549643E-4
0, 3, 9, 0.125, 0.0025957170668397143
0, 3, 3, 0.25, 0.0025957170668397143
0, 3, 30, 0.125, 0.0025957170668397143
0, 3, 1, 0.25, 0.0025957170668397143
0, 3, 28, 0.125, 0.0025957170668397143
0, 3, 31, 0.125, 0.0025957170668397143
3, 9, 17, 0.5, 6.489292667099286E-4
3, 9, 32, 0.5, 6.489292667099286E-4
9, 17, 19, 0.5, 0.0012978585334198572
9, 17, 2, 0.25, 0.0012978585334198572
9, 17, 17, 0.25, 0.0012978585334198572
19, 27, 31, 0.358974358974359, 0.012654120700843608
19, 27, 7, 0.05128205128205128, 0.012654120700843608
