"ngram_0","ngram_1","key","probability_key","ngram_weight"
1, 2, 0, 0.14285714285714285, 0.0016055045871559634
1, 2, 3, 0.14285714285714285, 0.0016055045871559634
1, 2, 1, 0.14285714285714285, 0.0016055045871559634
1, 2, 4, 0.14285714285714285, 0.0016055045871559634
1, 2, 5, 0.14285714285714285, 0.0016055045871559634
1, 2, 6, 0.14285714285714285, 0.0016055045871559634
1, 2, 2, 0.14285714285714285, 0.0016055045871559634
2, 0, 0, 0.08333333333333333, 0.0027522935779816515
2, 0, 5, 0.08333333333333333, 0.0027522935779816515
2, 0, 2, 0.5, 0.0027522935779816515
2, 0, 7, 0.25, 0.0027522935779816515
2, 0, 8, 0.08333333333333333, 0.0027522935779816515
0, 0, 4, 0.06666666666666667, 0.006880733944954129
0, 0, 0, 0.3333333333333333, 0.006880733944954129
0, 0, 7, 0.13333333333333333, 0.006880733944954129
0, 0, 9, 0.06666666666666667, 0.006880733944954129
0, 0, 10, 0.03333333333333333, 0.006880733944954129
0, 0, 11, 0.06666666666666667, 0.006880733944954129
0, 0, 1, 0.2, 0.006880733944954129
0, 0, 12, 0.03333333333333333, 0.006880733944954129
0, 0, 2, 0.03333333333333333, 0.006880733944954129
0, 0, 13, 0.03333333333333333, 0.006880733944954129
0, 4, 1, 0.2727272727272727, 0.002522935779816514
0, 4, 0, 0.18181818181818182, 0.002522935779816514
0, 4, 7, 0.09090909090909091, 0.002522935779816514
0, 4, 2, 0.2727272727272727, 0.002522935779816514
0, 4, 4, 0.09090909090909091, 0.002522935779816514
0, 4, 14, 0.09090909090909091, 0.002522935779816514
4, 1, 1, 0.2, 0.0022935779816513763
4, 1, 4, 0.4, 0.0022935779816513763
4, 1, 3, 0.1, 0.0022935779816513763
4, 1, 0, 0.1, 0.0022935779816513763
4, 1, 15, 0.1, 0.0022935779816513763
4, 1, 14, 0.1, 0.0022935779816513763
1, 1, 1, 0.4358974358974359, 0.008944954128440367
1, 1, 0, 0.15384615384615385, 0.008944954128440367
1, 1, 3, 0.02564102564102564, 0.008944954128440367
1, 1, 16, 0.07692307692307693, 0.008944954128440367
1, 1, 15, 0.05128205128205128, 0.008944954128440367
1, 1, 5, 0.05128205128205128, 0.008944954128440367
1, 1, 17, 0.02564102564102564, 0.008944954128440367
1, 1, 18, 0.05128205128205128, 0.008944954128440367
1, 1, 8, 0.02564102564102564, 0.008944954128440367
1, 1, 2, 0.02564102564102564, 0.008944954128440367
1, 1, 13, 0.02564102564102564, 0.008944954128440367
1, 1, 14, 0.02564102564102564, 0.008944954128440367
