"ngram_0","ngram_1","key","probability_key","ngram_weight"
0, 0, 0, 0.5555555555555556, 0.0035096841284284414
0, 0, 1, 0.037037037037037035, 0.0035096841284284414
0, 0, 2, 0.037037037037037035, 0.0035096841284284414
0, 0, 3, 0.1111111111111111, 0.0035096841284284414
0, 0, 4, 0.037037037037037035, 0.0035096841284284414
0, 0, 5, 0.037037037037037035, 0.0035096841284284414
0, 0, 6, 0.037037037037037035, 0.0035096841284284414
0, 0, 7, 0.037037037037037035, 0.0035096841284284414
0, 0, 8, 0.037037037037037035, 0.0035096841284284414
0, 0, 9, 0.037037037037037035, 0.0035096841284284414
0, 0, 10, 0.037037037037037035, 0.0035096841284284414
12, 6, 11, 0.043478260869565216, 0.0029897309242168206
12, 6, 7, 0.34782608695652173, 0.0029897309242168206
12, 6, 13, 0.08695652173913043, 0.0029897309242168206
12, 6, 2, 0.08695652173913043, 0.0029897309242168206
12, 6, 5, 0.043478260869565216, 0.0029897309242168206
12, 6, 8, 0.13043478260869565, 0.0029897309242168206
12, 6, 9, 0.043478260869565216, 0.0029897309242168206
12, 6, 6, 0.043478260869565216, 0.0029897309242168206
12, 6, 4, 0.13043478260869565, 0.0029897309242168206
12, 6, 14, 0.043478260869565216, 0.0029897309242168206
6, 11, 8, 0.07142857142857142, 0.0018198362147406734
6, 11, 4, 0.2857142857142857, 0.0018198362147406734
6, 11, 15, 0.07142857142857142, 0.0018198362147406734
6, 11, 11, 0.07142857142857142, 0.0018198362147406734
6, 11, 6, 0.07142857142857142, 0.0018198362147406734
6, 11, 16, 0.2857142857142857, 0.0018198362147406734
6, 11, 17, 0.07142857142857142, 0.0018198362147406734
6, 11, 9, 0.07142857142857142, 0.0018198362147406734
11, 8, 18, 0.14285714285714285, 0.0018198362147406734
11, 8, 7, 0.14285714285714285, 0.0018198362147406734
11, 8, 5, 0.07142857142857142, 0.0018198362147406734
11, 8, 2, 0.07142857142857142, 0.0018198362147406734
11, 8, 19, 0.14285714285714285, 0.0018198362147406734
11, 8, 20, 0.07142857142857142, 0.0018198362147406734
11, 8, 21, 0.07142857142857142, 0.0018198362147406734
11, 8, 22, 0.14285714285714285, 0.0018198362147406734
11, 8, 4, 0.14285714285714285, 0.0018198362147406734
8, 18, 20, 0.1111111111111111, 0.0023397894189522944
8, 18, 12, 0.2222222222222222, 0.0023397894189522944
8, 18, 23, 0.2222222222222222, 0.0023397894189522944
8, 18, 24, 0.05555555555555555, 0.0023397894189522944
8, 18, 25, 0.1111111111111111, 0.0023397894189522944
8, 18, 26, 0.05555555555555555, 0.0023397894189522944
8, 18, 27, 0.05555555555555555, 0.0023397894189522944
8, 18, 28, 0.05555555555555555, 0.0023397894189522944
8, 18, 29, 0.05555555555555555, 0.0023397894189522944
8, 18, 8, 0.05555555555555555, 0.0023397894189522944
18, 20, 6, 0.21428571428571427, 0.0018198362147406734
18, 20, 8, 0.14285714285714285, 0.0018198362147406734
18, 20, 4, 0.07142857142857142, 0.0018198362147406734
18, 20, 28, 0.07142857142857142, 0.0018198362147406734
18, 20, 14, 0.14285714285714285, 0.0018198362147406734
18, 20, 9, 0.14285714285714285, 0.0018198362147406734
18, 20, 16, 0.07142857142857142, 0.0018198362147406734
18, 20, 30, 0.14285714285714285, 0.0018198362147406734
20, 31, 1, 0.08823529411764706, 0.004419602235798778
20, 31, 16, 0.058823529411764705, 0.004419602235798778
20, 31, 32, 0.14705882352941177, 0.004419602235798778
20, 31, 2, 0.17647058823529413, 0.004419602235798778
20, 31, 23, 0.058823529411764705, 0.004419602235798778
20, 31, 13, 0.08823529411764706, 0.004419602235798778
20, 31, 33, 0.029411764705882353, 0.004419602235798778
20, 31, 28, 0.08823529411764706, 0.004419602235798778
20, 31, 25, 0.08823529411764706, 0.004419602235798778
20, 31, 18, 0.08823529411764706, 0.004419602235798778
20, 31, 24, 0.029411764705882353, 0.004419602235798778
20, 31, 4, 0.029411764705882353, 0.004419602235798778
20, 31, 26, 0.029411764705882353, 0.004419602235798778
3, 3, 3, 0.4117647058823529, 0.002209801117899389
3, 3, 34, 0.058823529411764705, 0.002209801117899389
