best_threshold: 0.86
false_positive_percentage: 0.001607178550784141
false_negative_percentage: 0.3074761653517221
number_of_tests_conducted: 451713

minimized_false_positive_threshold: 1.05
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 451713

equalized_false_positive_negative_threshold: 0.8
false_positive_percentage: 0.10430723851610149
false_negative_percentage: 0.021264064589749568
number_of_tests_conducted: 451713

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
0.6	0.17964474601176617	0.0	0.8527671331132821
0.601	0.17880469134068402	0.0	0.8534556233714771
0.602	0.17851837045600652	0.0	0.8536902856459744
0.603	0.17832388834565954	0.0	0.8538496788890291
0.604	0.1779808435121308	0.0	0.8541308308594173
0.605	0.1777890625422053	0.0	0.8542880103074297
0.606	0.177559465606379	0.0	0.854476182886036
0.607	0.17737578805771798	0.0	0.8546267209489211
0.608	0.17721101849200732	0.0	0.8547617624465091
0.609	0.17685987023721414	0.0	0.8550495558020247
0.61	0.1766221698801234	0.0	0.8552443697657583
0.611	0.17642228548893343	0.0	0.8554081905988979
0.612	0.1761575737276278	0.0	0.8556251425130559
0.613	0.1759468847747519	0.0	0.8557978185263652
0.614	0.17569297757513222	0.0	0.8560059152603534
0.615	0.1754498749371985	0.0	0.8562051568141719
0.616	0.17513114036746313	0.0	0.8564663846291782
0.617	0.17496096852090953	0.0	0.8566058537168512
0.618	0.17459361342358745	0.0	0.8569069298426213
0.619	0.17438022333029005	0.0	0.8570818196509731
0.62	0.1741236149902489	0.0	0.8572921301800037
0.621	0.1739048226161085	0.0	0.8574714475784403
0.622	0.17358338690595168	0.0	0.8577348891884892
0.623	0.17345913444656333	0.0	0.8578367237604408
0.624	0.17321062952778662	0.0	0.8580403929043441
0.625	0.17302965311954707	0.0	0.8581887171721868
0.626	0.17288379153678682	0.0	0.8583082621044779
0.627	0.1726974128477043	0.0	0.8584610139624054
0.628	0.17250022959693584	0.0	0.8586226210005026
0.629	0.17228413836321696	0.0	0.8587997246038968
0.63	0.17211666765708483	0.0	0.8589369798965272
0.631	0.1719464958105312	0.0	0.8590764489842001
0.632	0.17173310571723382	0.0	0.8592513387925519
0.633	0.17161155439826695	0.0	0.8593509595694612
0.634	0.17153862360688682	0.0	0.8594107320356067
0.635	0.17142247456876294	0.0	0.8595059252224311
0.636	0.17133873921569687	0.0	0.8595745528687463
0.637	0.17121448675630851	0.0	0.859676387440698
0.638	0.17105782061186234	0.0	0.8598047875531587
0.639	0.17097678639921776	0.0	0.8598712014044316
0.64	0.17083632709730048	0.0	0.8599863187466378
0.641	0.17071207463791213	0.0	0.8600881533185895
0.642	0.1705256959488296	0.0	0.860240905176517
0.643	0.17040684577028423	0.0	0.8603383121583837
0.644	0.1703123058555322	0.0	0.8604157949848688
0.645	0.17012592716644967	0.0	0.8605685468427962
0.646	0.16999897356663984	0.0	0.8606725952097903
0.647	0.16987201996683	0.0	0.8607766435767844
0.648	0.169682940137326	0.0	0.8609316092297543
0.649	0.16953707855456573	0.0	0.8610511541620454
0.65	0.16949656144824346	0.0	0.8610843610876818
0.651	0.16919403372103703	0.0	0.8613323061324336
0.652	0.1691400109126073	0.0	0.8613765820332822
0.653	0.169099493806285	0.0	0.8614097889589186
0.654	0.1690643789808057	0.0	0.8614385682944702
0.655	0.16892662081930993	0.0	0.8615514718416339
0.656	0.1688509888875083	0.0	0.861613458102822
0.657	0.16881047178118602	0.0	0.8616466650284583
0.658	0.16878886265781412	0.0	0.8616643753887978
0.659	0.16872133414727697	0.0	0.8617197202648584
0.6599999999999999	0.16868892046221914	0.0	0.8617462858053676
0.661	0.1686592079175828	0.0	0.8617706375508343
0.6619999999999999	0.16861598967083902	0.0	0.8618060582715131
0.663	0.16849713949229364	0.0	0.8619034652533799
0.6639999999999999	0.1684242087009135	0.0	0.8619632377195254
0.665	0.16835938133079786	0.0	0.8620163688005437
0.6659999999999999	0.16828104825857476	0.0	0.8620805688567741
0.667	0.16774892359554203	0.0	0.8625166864801322
0.6679999999999999	0.16769219964669083	0.0	0.8625631761760233
