W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0,1,0,1,0,1,0,1,1.000,-0.259,0,1,0,1,0.9105,0.2539,1.000,0.0317,0.9999,-0.496,0,1,0,1,1.000,0.6668,1.000,0.4395,1.000,-0.159,0,1,0,1,0.9998,-0.398,0.9998,0.6106,0.0833,0.0833,0,1,0,1,0,1,0,1,1.000,0.6652
3,5,1500,0.6692,0.6654,0,1,0,1,0,1,0.9999,-0.389,0,1,0,1,0.9995,0.2826,1.000,0.2025,1.000,-0.718,0,1,0,1,1.000,0.3863,1.000,0.5449,0.9991,-0.036,0,1,0,1,0.9998,0.2058,1.000,0.6664,0.0833,0.0833,0,1,0,1,0,1,0,1,1.000,0.6662
3,5,2000,0.680,0.6652,0,1,0,1,0,1,1.000,-0.683,0,1,0,1,0.9999,0.4408,0.9994,0.3038,0.9999,-0.901,0,1,0,1,1.000,0.2191,1.000,0.5148,0.9967,0.0692,0,1,0,1,0.9999,0.2898,1.000,0.6658,0.0833,0.0833,0,1,0,1,0,1,0,1,0.9994,0.6667
3,6,1000,0,1,0,1,0,1,0,1,1.000,0.3531,0,1,0,1,1.000,0.6521,1.000,0.3873,1.000,0.2223,0,1,0,1,1.000,0.7811,0.9666,0.6873,0.7378,0.2185,0,1,0,1,1.000,0.6523,1.000,0.7585,0.3545,0.23,0,1,0,1,0,1,0,1,0.9999,0.6663
3,6,1500,0.6762,0.6636,0,1,0,1,0,1,0.9997,0.2923,0,1,0,1,1.000,0.2816,1.000,0.4633,0.9997,-0.046,0,1,0,1,1.000,0.6266,0.9258,0.5942,0.8008,0.3356,0,1,0,1,0.9999,0.7015,1.000,0.7662,0.2693,0.1717,0,1,0,1,0,1,0,1,0.9999,0.6646
3,6,2000,0.6859,0.6658,0,1,0,1,0,1,0.9999,0.08,0,1,0,1,1.000,0.1648,1.000,0.563,1.000,0.0857,0,1,0,1,1.000,0.5038,0.9796,0.5503,0.9999,0.5391,0,1,0,1,1.000,0.6228,1.000,0.7665,0.3033,0.1827,0,1,0,1,0,1,0,1,1.000,0.6661
3,7,1000,0,1,0,1,0,1,0,1,1.000,0.5222,0,1,0,1,0.9998,0.706,0.9995,0.2714,0.5306,-0.546,0,1,0,1,0.9987,0.3076,1.000,0.2311,0.9999,0.0894,0,1,0,1,0.9802,0.4853,0.9999,0.7497,0.3728,0.1486,0,1,0,1,0,1,0,1,1.000,0.6662
3,7,1500,0.6672,0.6651,0,1,0,1,0,1,1.000,0.3897,0,1,0,1,1.000,0.7690,0.9996,0.2354,0.4061,-0.789,0,1,0,1,0.9999,0.4033,1.000,0.3639,0.9998,0.1057,0,1,0,1,1.000,0.5944,1.000,0.7483,0.3467,0.0833,0,1,0,1,0,1,0,1,0.9997,0.6634
3,7,2000,0.6786,0.6662,0,1,0,1,0,1,0.9999,0.2999,0,1,0,1,1.000,0.7011,1.000,0.0849,0.5130,-0.720,0,1,0,1,1.000,0.3263,1.000,0.3133,1.000,0.116,0,1,0,1,1.000,0.7106,0.9998,0.7393,0.2767,0.0411,0,1,0,1,0,1,0,1,0.9998,0.6666
3,8,1000,0,1,0,1,0,1,0,1,0.9122,0.5903,0,1,0,1,0.9824,0.57,0.9999,0.4675,0.4425,-1.037,0,1,0,1,0.9997,-0.017,1.000,-0.033,0.9980,-1.327,0,1,0,1,1.000,0.5557,1.000,0.7711,0.29,-0.477,0,1,0,1,0,1,0,1,0.9999,0.7500
3,8,1500,0.7531,0.750,0,1,0,1,0,1,0.9520,0.5853,0,1,0,1,1.000,0.6375,1.000,0.1408,0.5617,-0.832,0,1,0,1,1.000,0.0058,0.9996,-0.123,0.9999,-1.008,0,1,0,1,0.9998,0.6015,1.000,0.7538,0.3024,-0.846,0,1,0,1,0,1,0,1,0.9999,0.7501
3,8,2000,0.7664,0.7500,0,1,0,1,0,1,0.9897,0.6361,0,1,0,1,0.9724,0.5997,0.9999,0.2019,0.6967,-0.831,0,1,0,1,1.000,0.1017,1.000,-0.12,0.9998,-0.949,0,1,0,1,1.000,0.5869,1.000,0.750,0.2611,-1.017,0,1,0,1,0,1,0,1,0.9997,0.7431
3,9,1000,0,1,0,1,0,1,0,1,0.9999,0.5763,0,1,0,1,1.000,0.7175,1.000,0.3162,0.9999,-1.362,0,1,0,1,1.000,0.7353,1.000,0.6663,0.9859,0.3747,0,1,0,1,1.000,0.6109,1.000,0.8204,0.3873,0.2076,0,1,0,1,0,1,0,1,0.9965,0.7057
3,9,1500,0.7734,0.7706,0,1,0,1,0,1,1.000,0.3909,0,1,0,1,1.000,0.7211,0.9975,0.3712,0.9393,-0.857,0,1,0,1,1.000,0.7341,0.9999,0.6451,0.9631,0.4336,0,1,0,1,1.000,0.5978,1.000,0.6029,0.3903,0.0411,0,1,0,1,0,1,0,1,1.000,0.7295
3,9,2000,0.7861,0.7715,0,1,0,1,0,1,1.000,0.2854,0,1,0,1,1.000,0.7203,1.000,0.4343,0.9997,-0.878,0,1,0,1,1.000,0.7335,0.9998,0.6586,0.9996,0.4189,0,1,0,1,1.000,0.6136,0.9986,0.6288,0.3842,0.0207,0,1,0,1,0,1,0,1,0.9997,0.7129
