W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,8,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.8964,0.6411,0.9444,0,0,0,0,0,0,0.9999,0.5922,0.7923,0.9998,0.4064,0.3241,0.5606,-0.508,0,0,0,0,0,0,0,1.000,-0.375,0.4320,0.9998,0.2092,0.5060,0.9992,0.1417,0.3091,0,0,0,0,0,0,0.7728,-1.169,0.04585,1.000,0.6667,0.9295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.7713,1
3,8,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9254,0.6831,0.9915,0,0,0,0,0,0,0.9998,0.5675,0.7753,0.9714,0.0953,0.2645,0.5572,-0.692,0,0,0,0,0,0,0,0.9997,-0.131,0.3950,1.000,0.4049,0.8696,0.9997,0.1225,0.3029,0,0,0,0,0,0,0.9997,-0.102,0.1757,1.000,0.6664,0.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.7550,1
3,8,2000,0,0,0,0,0,0,0,0,0,0,0,0,0.9568,0.7392,1,0,0,0,0,0,0,0.9203,0.5786,0.4833,1.000,0.2136,0.3260,0.4839,-0.796,0,0,0,0,0,0,0,0.9999,0.00,0.4588,1.000,0.4477,0.8637,0.9989,0.15,0.2818,0,0,0,0,0,0,0.9989,0.0242,0.3065,1.000,0.6646,0.9141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996,0.7469,1
3,9,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.6591,0.9726,0,0,0,0,0,0,1.000,0.7618,1,1.000,0.5585,0.8999,0.9994,-0.164,0.5414,0,0,0,0,0,0,1.000,0.4788,0.6764,1.000,0.6749,0.9844,0.9998,0.7033,1,0,0,0,0,0,0,0.7500,0.3292,0.1388,1.000,0.6826,0.9867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9844,0.7319,1
3,9,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.6029,0.7784,0,0,0,0,0,0,0.9986,0.6551,0.8874,1.000,0.3497,0.5347,0.9983,-0.403,0.2615,0,0,0,0,0,0,0.9998,0.2765,0.6014,0.9999,0.714,1,0.9230,0.5942,0.7902,0,0,0,0,0,0,0.9989,0.5375,0.5258,0.9997,0.6394,0.9022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9978,0.7286,1
3,9,2000,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.4837,0.6932,0,0,0,0,0,0,0.9937,0.6372,0.9590,0.9990,0.3383,0.5827,0.9139,-0.470,0.2091,0,0,0,0,0,0,1.000,0.3488,0.6149,1.000,0.6951,0.9994,0.9998,0.5917,0.7606,0,0,0,0,0,0,0.9999,0.5461,0.5499,0.9999,0.6629,0.9279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.7313,1
3,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.3789,0.6824,0,0,0,0,0,0,0.9106,0.6092,0.9034,1.000,0.7922,1,0.7930,0.3634,0.1208,0,0,0,0,0,0,1.000,0.4919,0.6870,1.000,0.5028,0.7033,0.7913,0.6872,0.9610,0,0,0,0,0,0,0.7559,-0.092,0.01868,1.000,0.7500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9390,0.6651,0.6992
3,10,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.3434,0.6174,0,0,0,0,0,0,0.9053,0.6545,0.9270,1.000,0.7578,1,0.7097,0.2781,0.003254,0,0,0,0,0,0,1.000,0.5317,0.5989,1.000,0.3586,0.4493,0.8754,0.6611,0.7714,0,0,0,0,0,0,0.9737,0.1789,0.1904,1.000,0.7495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9334,0.6621,0.5419
3,10,2000,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.2511,0.4906,0,0,0,0,0,0,0.8912,0.6047,0.7594,1.000,0.7205,1,0.6785,0.1995,0,0,0,0,0,0,0,1.000,0.6194,0.6867,0.9999,0.2917,0.4226,0.9307,0.6889,0.9589,0,0,0,0,0,0,0.9998,0.3564,0.3773,1.000,0.7250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993,0.6646,0.5795
3,20,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.8761,1,0,0,0,0,0,0,1.000,0.7835,1,0.8452,0.6331,0.8067,0.9008,0.6394,0.8967,0,0,0,0,0,0,0.9997,0.3443,0.3823,1.000,0.7954,1,0.88,0.7012,1,0,0,0,0,0,0,0.9969,0.8843,1,1.000,0.5724,0.5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.6970,0.9958
