"positive", "compare_value", "same_user", "same_device"
1, 0.011461318051577685, 1, 1
1, 0.00841346153846434, 1, 1
0, 0.012345679012343291, 1, 0
0, 0.010204081632652295, 1, 0
0, -1.7763568394002505E-15, 1, 0
0, 0.010683760683762644, 1, 0
0, -1.5543122344752192E-15, 1, 0
0, 0.010330578512399047, 1, 0
0, 0.0019762845849835564, 1, 0
0, 0.0027027027027060058, 1, 0
0, 0.013888888888890838, 1, 0
0, 0.015587529976022862, 1, 0
0, 0.022456140350874954, 1, 0
0, 0.0044843049327331075, 1, 0
0, 3.9968028886505635E-15, 1, 0
0, -1.7763568394002505E-15, 1, 0
0, -2.6645352591003757E-15, 1, 0
0, 2.886579864025407E-15, 1, 0
0, 0.0034364261168413623, 1, 0
0, -4.884981308350689E-15, 1, 0
0, 0.10945945945946045, 0, 1
0, 0.0971074380165311, 0, 1
0, 0.16203703703703798, 0, 1
0, 1.1102230246251565E-15, 1, 0
0, 0.0028818443803960703, 1, 0
0, 0.009032258064521681, 1, 0
0, 0.009374999999994693, 1, 0
0, 0.004385964912278384, 0, 0
0, 0.03723404255319296, 0, 0
0, 0.02879999999999927, 0, 0
0, 0.006276150627618771, 0, 0
0, 0.05405405405405772, 0, 0
0, 1.7763568394002505E-15, 0, 0
0, -2.220446049250313E-16, 0, 0
0, -2.220446049250313E-16, 0, 0
0, 0.08222222222222075, 0, 0
0, 0.07317073170731558, 0, 0
0, 0.034375000000002265, 0, 0
0, 0.054209183673470496, 0, 0
0, 0.07314974182443934, 0, 0
0, 0.039370078740158854, 0, 0
0, 0.03838862559241374, 0, 0
0, 0.0390749601275896, 0, 0
0, 0.009368836291910099, 1, 0
0, -5.10702591327572E-15, 1, 0
0, 0.006717850287895288, 1, 0
0, 0.03206106870228875, 1, 0
0, 4.218847493575595E-15, 1, 0
0, 0.02525252525252286, 1, 0
0, 0.013100436681220962, 1, 0
0, 0.0044247787610606215, 1, 0
0, 0.004608294930878554, 1, 0
0, 0.006369426751592466, 1, 0
0, -6.661338147750939E-16, 1, 0
0, 0.00502512562813795, 1, 0
0, 3.885780586188048E-15, 1, 0
0, 0.005076142131977823, 1, 0
0, 0.0028248587570663952, 1, 0
0, -3.3306690738754696E-15, 1, 0
0, 0.004926108374385341, 1, 0
0, -2.6645352591003757E-15, 1, 0
0, 0.0, 0, 1
0, -1.7763568394002505E-15, 0, 1
0, 1.4432899320127035E-15, 0, 1
0, 0.04166666666666796, 0, 0
0, 0.02459016393442548, 0, 0
0, 1.9984014443252818E-15, 0, 0
0, 0.09848484848485073, 0, 0
0, 0.025210084033614355, 0, 0
0, 0.05253623188405676, 0, 0
1, 0.009090909090913257, 1, 1
1, 0.0023419203747062634, 1, 1
0, -6.661338147750939E-16, 1, 0
0, 0.005154639175259712, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 7.771561172376096E-16, 1, 0
0, 2.6645352591003757E-15, 1, 0
0, 0.003636363636359663, 1, 0
0, -2.4424906541753444E-15, 1, 0
0, -3.3306690738754696E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 5.329070518200751E-15, 1, 0
0, 1.5543122344752192E-15, 1, 0
0, 2.1094237467877974E-15, 1, 0
0, 1.9984014443252818E-15, 1, 0
0, -2.886579864025407E-15, 1, 0
0, 2.4424906541753444E-15, 1, 0
0, -3.1086244689504383E-15, 1, 0
0, -5.773159728050814E-15, 1, 0
0, -5.10702591327572E-15, 1, 0
0, 0.047008547008548174, 0, 1
0, 0.04999999999999927, 0, 1
0, 0.12706611570247994, 0, 1
0, 2.886579864025407E-15, 1, 0
0, -5.995204332975845E-15, 1, 0
0, -1.7763568394002505E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 2.4424906541753444E-15, 0, 0
0, 0.009433962264151052, 0, 0
0, 0.02619047619047854, 0, 0
0, 0.0, 0, 0
0, 2.55351295663786E-15, 0, 0
0, 8.881784197001252E-16, 0, 0
0, -6.661338147750939E-16, 0, 0
0, -4.440892098500626E-16, 0, 0
0, -2.4424906541753444E-15, 0, 0
0, 0.013605442176869986, 0, 0
0, 1.887379141862766E-15, 0, 0
0, 0.01351351351351171, 0, 0
0, 0.0068027210884346045, 0, 0
0, 1.9984014443252818E-15, 0, 0
0, 2.7755575615628914E-15, 0, 0
0, 2.7755575615628914E-15, 0, 0
0, 0.00749063670411787, 1, 0
0, -6.661338147750939E-16, 1, 0
0, 0.001351351351358665, 1, 0
0, 3.9968028886505635E-15, 1, 0
0, -1.5543122344752192E-15, 1, 0
0, 1.7763568394002505E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 4.3298697960381105E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 2.6645352591003757E-15, 1, 0
0, 0.007407407407406197, 1, 0
0, 2.220446049250313E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 3.774758283725532E-15, 1, 0
0, -3.1086244689504383E-15, 1, 0
0, -1.9984014443252818E-15, 1, 0
0, 2.55351295663786E-15, 1, 0
0, 1.5543122344752192E-15, 0, 1
0, 4.440892098500626E-16, 0, 1
0, -4.440892098500626E-16, 0, 1
0, -1.3322676295501878E-15, 0, 0
0, -6.661338147750939E-16, 0, 0
0, 9.992007221626409E-16, 0, 0
0, 0.009345794392523366, 0, 0
0, 2.4424906541753444E-15, 0, 0
0, 0.00645161290322438, 0, 0
1, 0.005263157894734749, 1, 1
1, 0.0038610038610055186, 1, 1
0, 0.003067484662580444, 1, 0
