best_threshold: 0.86
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 80

minimized_false_positive_threshold: 0.05
false_positive_percentage: 0.0
false_negative_percentage: 0.9
number_of_tests_conducted: 80

equalized_false_positive_negative_threshold: 0.0
false_positive_percentage: 0.725
false_negative_percentage: 0.0
number_of_tests_conducted: 80

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
1.44E-6	0.0	0.075	0.9625
1.45E-6	0.0	0.075	0.9625
1.46E-6	0.0	0.075	0.9625
1.4700000000000001E-6	0.0	0.075	0.9625
1.48E-6	0.0	0.075	0.9625
1.4900000000000001E-6	0.0	0.075	0.9625
1.5E-6	0.0	0.075	0.9625
1.51E-6	0.0	0.075	0.9625
1.52E-6	0.0	0.075	0.9625
1.53E-6	0.0	0.075	0.9625
1.54E-6	0.0	0.075	0.9625
1.55E-6	0.0	0.075	0.9625
1.56E-6	0.0	0.075	0.9625
1.57E-6	0.0	0.075	0.9625
1.5800000000000001E-6	0.0	0.075	0.9625
1.59E-6	0.0	0.075	0.9625
1.6E-6	0.0	0.075	0.9625
1.61E-6	0.0	0.075	0.9625
1.62E-6	0.0	0.075	0.9625
1.63E-6	0.0	0.075	0.9625
1.64E-6	0.0	0.075	0.9625
1.65E-6	0.0	0.075	0.9625
1.66E-6	0.0	0.075	0.9625
1.67E-6	0.0	0.075	0.9625
1.68E-6	0.0	0.075	0.9625
1.6900000000000001E-6	0.0	0.075	0.9625
1.7E-6	0.0	0.075	0.9625
1.71E-6	0.0	0.075	0.9625
1.72E-6	0.0	0.075	0.9625
1.73E-6	0.0	0.075	0.9625
1.74E-6	0.0	0.075	0.9625
1.75E-6	0.0	0.075	0.9625
1.76E-6	0.0	0.075	0.9625
1.77E-6	0.0	0.075	0.9625
1.7800000000000001E-6	0.0	0.075	0.9625
1.79E-6	0.0	0.075	0.9625
1.8000000000000001E-6	0.0	0.075	0.9625
1.81E-6	0.0	0.075	0.9625
1.82E-6	0.0	0.075	0.9625
1.83E-6	0.0	0.075	0.9625
1.84E-6	0.0	0.075	0.9625
1.85E-6	0.0	0.075	0.9625
1.86E-6	0.0	0.075	0.9625
1.87E-6	0.0	0.075	0.9625
1.88E-6	0.0	0.075	0.9625
1.8900000000000001E-6	0.0	0.075	0.9625
1.9E-6	0.0	0.075	0.9625
1.91E-6	0.0	0.075	0.9625
1.9200000000000003E-6	0.0	0.075	0.9625
1.93E-6	0.0	0.075	0.9625
1.94E-6	0.0	0.075	0.9625
1.95E-6	0.0	0.075	0.9625
1.96E-6	0.0	0.075	0.9625
1.97E-6	0.0	0.075	0.9625
1.98E-6	0.0	0.075	0.9625
1.99E-6	0.0	0.075	0.9625
2.0E-6	0.0	0.075	0.9625
2.0100000000000002E-6	0.0	0.075	0.9625
2.02E-6	0.0	0.075	0.9625
2.03E-6	0.0	0.075	0.9625
2.04E-6	0.0	0.075	0.9625
2.05E-6	0.0	0.075	0.9625
2.06E-6	0.0	0.075	0.9625
2.07E-6	0.0	0.075	0.9625
2.08E-6	0.0	0.075	0.9625
2.09E-6	0.0	0.075	0.9625
2.1000000000000002E-6	0.0	0.075	0.9625
2.11E-6	0.0	0.075	0.9625
2.12E-6	0.0	0.075	0.9625
2.13E-6	0.0	0.075	0.9625
2.14E-6	0.0	0.075	0.9625
2.15E-6	0.0	0.075	0.9625
2.16E-6	0.0	0.075	0.9625
2.17E-6	0.0	0.075	0.9625
2.18E-6	0.0	0.075	0.9625
2.19E-6	0.0	0.075	0.9625
2.2E-6	0.0	0.075	0.9625
2.21E-6	0.0	0.075	0.9625
2.22E-6	0.0	0.075	0.9625
2.2300000000000002E-6	0.0	0.075	0.9625
2.24E-6	0.0	0.075	0.9625
2.25E-6	0.0	0.075	0.9625
2.26E-6	0.0	0.075	0.9625
2.27E-6	0.0	0.075	0.9625
2.28E-6	0.0	0.075	0.9625
2.29E-6	0.0	0.075	0.9625
2.3E-6	0.0	0.075	0.9625
2.31E-6	0.0	0.075	0.9625
2.3200000000000002E-6	0.0	0.075	0.9625
2.33E-6	0.0	0.075	0.9625
2.34E-6	0.0	0.075	0.9625
2.35E-6	0.0	0.075	0.9625
2.36E-6	0.0	0.075	0.9625
2.37E-6	0.0	0.075	0.9625
2.38E-6	0.0	0.075	0.9625
2.39E-6	0.0	0.075	0.9625
2.4E-6	0.0	0.075	0.9625
2.4100000000000002E-6	0.0	0.075	0.9625
2.42E-6	0.0	0.075	0.9625
2.43E-6	0.0	0.075	0.9625
2.44E-6	0.0	0.075	0.9625
2.4500000000000003E-6	0.0	0.075	0.9625
2.46E-6	0.0	0.075	0.9625
2.47E-6	0.0	0.075	0.9625
2.48E-6	0.0	0.075	0.9625
2.49E-6	0.0	0.075	0.9625
2.5E-6	0.0	0.075	0.9625
2.51E-6	0.0	0.075	0.9625
2.52E-6	0.0	0.075	0.9625
2.53E-6	0.0	0.075	0.9625
2.5400000000000002E-6	0.0	0.075	0.9625
2.55E-6	0.0	0.075	0.9625
2.56E-6	0.0	0.075	0.9625
2.57E-6	0.0	0.075	0.9625
2.58E-6	0.0	0.075	0.9625
2.59E-6	0.0	0.075	0.9625
2.6E-6	0.0	0.075	0.9625
2.61E-6	0.0	0.075	0.9625
2.62E-6	0.0	0.075	0.9625
2.6300000000000002E-6	0.0	0.075	0.9625
2.64E-6	0.0	0.075	0.9625
2.65E-6	0.0	0.075	0.9625
2.66E-6	0.0	0.075	0.9625
2.67E-6	0.0	0.075	0.9625
2.68E-6	0.0	0.075	0.9625
2.69E-6	0.0	0.075	0.9625
2.7E-6	0.0	0.075	0.9625
2.71E-6	0.0	0.075	0.9625
2.7200000000000002E-6	0.0	0.075	0.9625
2.73E-6	0.0	0.075	0.9625
2.74E-6	0.0	0.075	0.9625
2.75E-6	0.0	0.075	0.9625
2.7600000000000003E-6	0.0	0.075	0.9625
2.77E-6	0.0	0.075	0.9625
2.78E-6	0.0	0.075	0.9625
2.79E-6	0.0	0.075	0.9625
2.8E-6	0.0	0.075	0.9625
2.81E-6	0.0	0.075	0.9625
2.82E-6	0.0	0.075	0.9625
2.83E-6	0.0	0.075	0.9625
2.84E-6	0.0	0.075	0.9625
2.8500000000000002E-6	0.0	0.075	0.9625
2.86E-6	0.0	0.075	0.9625
2.87E-6	0.0	0.075	0.9625
2.88E-6	0.0	0.075	0.9625
2.89E-6	0.0	0.075	0.9625
2.9E-6	0.0	0.075	0.9625
2.91E-6	0.0	0.075	0.9625
2.92E-6	0.0	0.075	0.9625
2.93E-6	0.0	0.075	0.9625
2.9400000000000002E-6	0.0	0.075	0.9625
2.95E-6	0.0	0.075	0.9625
2.96E-6	0.0	0.075	0.9625
2.97E-6	0.0	0.075	0.9625
2.9800000000000003E-6	0.0	0.075	0.9625
2.99E-6	0.0	0.075	0.9625
3.0E-6	0.0	0.075	0.9625
3.01E-6	0.0	0.075	0.9625
3.02E-6	0.0	0.075	0.9625
3.0300000000000002E-6	0.0	0.075	0.9625
3.04E-6	0.0	0.075	0.9625
3.05E-6	0.0	0.075	0.9625
3.06E-6	0.0	0.075	0.9625
3.0700000000000003E-6	0.0	0.075	0.9625
3.08E-6	0.0	0.075	0.9625
3.09E-6	0.0	0.075	0.9625
3.1E-6	0.0	0.075	0.9625
3.11E-6	0.0	0.075	0.9625
3.12E-6	0.0	0.075	0.9625
3.13E-6	0.0	0.075	0.9625
3.14E-6	0.0	0.075	0.9625
3.15E-6	0.0	0.075	0.9625
3.1600000000000002E-6	0.0	0.075	0.9625
3.17E-6	0.0	0.075	0.9625
3.18E-6	0.0	0.075	0.9625
3.19E-6	0.0	0.075	0.9625
3.2E-6	0.0	0.075	0.9625
3.21E-6	0.0	0.075	0.9625
3.22E-6	0.0	0.075	0.9625
3.23E-6	0.0	0.075	0.9625
3.24E-6	0.0	0.075	0.9625
3.2500000000000002E-6	0.0	0.075	0.9625
3.26E-6	0.0	0.075	0.9625
3.27E-6	0.0	0.075	0.9625
3.28E-6	0.0	0.075	0.9625
3.2900000000000003E-6	0.0	0.075	0.9625
3.3E-6	0.0	0.075	0.9625
3.31E-6	0.0	0.075	0.9625
3.32E-6	0.0	0.075	0.9625
3.33E-6	0.0	0.075	0.9625
3.34E-6	0.0	0.075	0.9625
3.35E-6	0.0	0.075	0.9625
3.36E-6	0.0	0.075	0.9625
3.37E-6	0.0	0.075	0.9625
3.3800000000000002E-6	0.0	0.075	0.9625
3.39E-6	0.0	0.075	0.9625
3.4E-6	0.0	0.075	0.9625
3.41E-6	0.0	0.075	0.9625
3.42E-6	0.0	0.075	0.9625
3.43E-6	0.0	0.075	0.9625
3.44E-6	0.0	0.075	0.9625
3.45E-6	0.0	0.075	0.9625
3.46E-6	0.0	0.075	0.9625
3.4700000000000002E-6	0.0	0.075	0.9625
3.48E-6	0.0	0.075	0.9625
3.49E-6	0.0	0.075	0.9625
3.5E-6	0.0	0.075	0.9625
3.5100000000000003E-6	0.0	0.075	0.9625
3.52E-6	0.0	0.075	0.9625
3.53E-6	0.0	0.075	0.9625
3.54E-6	0.0	0.075	0.9625
3.55E-6	0.0	0.075	0.9625
3.5600000000000002E-6	0.0	0.075	0.9625
3.57E-6	0.0	0.075	0.9625
3.58E-6	0.0	0.075	0.9625
3.59E-6	0.0	0.075	0.9625
3.6000000000000003E-6	0.0	0.075	0.9625
3.61E-6	0.0	0.075	0.9625
3.62E-6	0.0	0.075	0.9625
3.63E-6	0.0	0.075	0.9625
3.64E-6	0.0	0.075	0.9625
3.65E-6	0.0	0.075	0.9625
3.66E-6	0.0	0.075	0.9625
3.67E-6	0.0	0.075	0.9625
3.68E-6	0.0	0.075	0.9625
3.6900000000000002E-6	0.0	0.075	0.9625
3.7E-6	0.0	0.075	0.9625
3.71E-6	0.0	0.075	0.9625
3.72E-6	0.0	0.075	0.9625
3.7300000000000003E-6	0.0	0.075	0.9625
3.74E-6	0.0	0.075	0.9625
3.75E-6	0.0	0.075	0.9625
3.76E-6	0.0	0.075	0.9625
3.77E-6	0.0	0.075	0.9625
3.7800000000000002E-6	0.0	0.075	0.9625
3.79E-6	0.0	0.075	0.9625
3.8E-6	0.0	0.075	0.9625
3.81E-6	0.0	0.075	0.9625
3.82E-6	0.0	0.075	0.9625
3.83E-6	0.0	0.075	0.9625
3.8400000000000005E-6	0.0	0.075	0.9625
3.85E-6	0.0	0.075	0.9625
3.86E-6	0.0	0.075	0.9625
3.87E-6	0.0	0.075	0.9625
3.88E-6	0.0	0.075	0.9625
3.89E-6	0.0	0.075	0.9625
3.9E-6	0.0	0.075	0.9625
3.91E-6	0.0	0.075	0.9625
3.92E-6	0.0	0.075	0.9625
3.9300000000000005E-6	0.0	0.075	0.9625
