0.8489,0.2153,3,5,1000
0.6676,-0.157,3,5,1500
0.6752,-0.179,3,5,2000
0.9426,0.6624,3,6,1000
0.7880,0.4803,3,6,1500
0.7824,0.4747,3,6,2000
0.9999,0.3586,3,7,1000
1.000,0.2883,3,7,1500
1.000,0.3344,3,7,2000
1.000,0.0517,3,8,1000
1.000,0.3377,3,8,1500
1.000,0.4125,3,8,2000
1.000,0.6914,3,9,1000
0.9515,0.55,3,9,1500
0.9202,0.4971,3,9,2000
0.9999,0.3406,3,10,1000
0.9354,0.2392,3,10,1500
0.9398,0.2025,3,10,2000
1.000,0.8635,3,20,1000
0.9800,0.6751,3,20,1500
0.9610,0.7004,3,20,2000
0.7873,0.6995,3,30,1000
0.8160,0.6578,3,30,1500
0.8215,0.6753,3,30,2000
0.7961,0.7257,3,40,1000
0.7953,0.6939,3,40,1500
0.7866,0.6951,3,40,2000
0.8184,0.7474,3,50,1000
0.7982,0.7054,3,50,1500
0.7955,0.6979,3,50,2000
0.7170,0.1846,4,5,1000
0.6722,0.3833,4,5,1500
0.6738,0.3283,4,5,2000
0.8230,0.5860,4,6,1000
0.8551,0.5110,4,6,1500
0.778,0.4421,4,6,2000
0.9242,0.5667,4,7,1000
0.8206,0.5305,4,7,1500
0.8648,0.5526,4,7,2000
1.000,0.4633,4,8,1000
1.000,0.5104,4,8,1500
1.000,0.4783,4,8,2000
0.8670,0.6568,4,9,1000
0.9047,0.6418,4,9,1500
0.8467,0.6267,4,9,2000
0.9656,0.5845,4,10,1000
0.9234,0.5894,4,10,1500
0.9998,0.6132,4,10,2000
0.8793,0.8090,4,20,1000
0.8869,0.7720,4,20,1500
0.8941,0.7958,4,20,2000
0.7168,0.6711,4,30,1000
0.7426,0.6769,4,30,1500
0.7453,0.6892,4,30,2000
0.7362,0.7121,4,40,1000
0.7747,0.7303,4,40,1500
0.7651,0.7179,4,40,2000
0.7651,0.7424,4,50,1000
0.7836,0.7520,4,50,1500
0.7608,0.7237,4,50,2000
0.7460,0.5142,5,5,1000
0.7025,0.5171,5,5,1500
0.7262,0.4804,5,5,2000
0.7846,0.6758,5,6,1000
0.8218,0.5857,5,6,1500
0.8441,0.4907,5,6,2000
0.7229,0.5944,5,7,1000
0.7741,0.5731,5,7,1500
0.8197,0.5652,5,7,2000
0.8691,0.4702,5,8,1000
0.9157,0.5496,5,8,1500
0.9685,0.5360,5,8,2000
0.9407,0.7366,5,9,1000
0.8886,0.6916,5,9,1500
0.8886,0.7091,5,9,2000
0.8953,0.7087,5,10,1000
0.8412,0.6910,5,10,1500
0.8831,0.7161,5,10,2000
0.8070,0.7673,5,20,1000
0.8452,0.7827,5,20,1500
0.8341,0.7827,5,20,2000
0.7024,0.6623,5,30,1000
0.7300,0.6954,5,30,1500
0.7361,0.7035,5,30,2000
0.7173,0.7086,5,40,1000
0.7452,0.7327,5,40,1500
0.7480,0.7349,5,40,2000
0.7168,0.7110,5,50,1000
0.7442,0.7323,5,50,1500
0.7423,0.7308,5,50,2000
0.8340,0.6754,6,5,1000
0.8081,0.6148,6,5,1500
0.7788,0.5926,6,5,2000
0.7351,0.6528,6,6,1000
0.8026,0.5625,6,6,1500
0.8260,0.5312,6,6,2000
0.6276,0.5323,6,7,1000
0.6831,0.5561,6,7,1500
0.7185,0.5611,6,7,2000
0.7168,0.5389,6,8,1000
0.7788,0.6160,6,8,1500
0.8332,0.6239,6,8,2000
0.9528,0.8558,6,9,1000
0.9414,0.7443,6,9,1500
0.9176,0.7392,6,9,2000
0.8436,0.7507,6,10,1000
0.8524,0.7340,6,10,1500
0.8685,0.7686,6,10,2000
0.7936,0.7649,6,20,1000
0.8053,0.7778,6,20,1500
0.8025,0.7755,6,20,2000
0.6884,0.6798,6,30,1000
0.7142,0.7021,6,30,1500
0.7140,0.7049,6,30,2000
0.6941,0.6886,6,40,1000
0.7206,0.7121,6,40,1500
0.7169,0.7086,6,40,2000
0.6942,0.6915,6,50,1000
0.7179,0.7119,6,50,1500
0.7160,0.7101,6,50,2000
