1,0.385,3,5,1000
0.9989,0.2336,3,5,1500
0.9993,0.2082,3,5,2000
1,0.8163,3,6,1000
1,0.7514,3,6,1500
1,0.7092,3,6,2000
1,0.8485,3,7,1000
1,0.8465,3,7,1500
1,0.8245,3,7,2000
1,0.8876,3,8,1000
1,0.8873,3,8,1500
1,0.878,3,8,2000
1,0.8971,3,9,1000
0.9976,0.8599,3,9,1500
1,0.8781,3,9,2000
1,0.8624,3,10,1000
1,0.8294,3,10,1500
1,0.8315,3,10,2000
0.7926,0.6308,3,20,1000
0.8067,0.6316,3,20,1500
0.8131,0.632,3,20,2000
0.6111,0.5319,3,30,1000
0.6324,0.5453,3,30,1500
0.6372,0.5467,3,30,2000
0.4813,0.4369,3,40,1000
0.5245,0.4729,3,40,1500
0.5294,0.479,3,40,2000
0.3847,0.3644,3,50,1000
0.4104,0.3871,3,50,1500
0.4189,0.3898,3,50,2000
0.9999,0.8287,4,5,1000
0.9999,0.7436,4,5,1500
0.9999,0.7207,4,5,2000
0.9835,0.8136,4,6,1000
0.9893,0.8033,4,6,1500
0.9799,0.7906,4,6,2000
0.928,0.7501,4,7,1000
0.9368,0.7541,4,7,1500
0.9531,0.7727,4,7,2000
0.8748,0.7489,4,8,1000
0.8721,0.7392,4,8,1500
0.8783,0.7483,4,8,2000
0.803,0.6777,4,9,1000
0.8022,0.6685,4,9,1500
0.804,0.6717,4,9,2000
0.771,0.639,4,10,1000
0.7768,0.6376,4,10,1500
0.7777,0.6372,4,10,2000
0.4359,0.3776,4,20,1000
0.4631,0.4083,4,20,1500
0.4697,0.4144,4,20,2000
0.2557,0.2456,4,30,1000
0.282,0.2729,4,30,1500
0.284,0.2753,4,30,2000
0.1849,0.1807,4,40,1000
0.1987,0.1952,4,40,1500
0.2019,0.1962,4,40,2000
0.1607,0.1583,4,50,1000
0.1675,0.166,4,50,1500
0.169,0.1674,4,50,2000
0.989,0.8604,5,5,1000
0.9971,0.8652,5,5,1500
1,0.8781,5,5,2000
0.828,0.6556,5,6,1000
0.8249,0.6395,5,6,1500
0.8232,0.6389,5,6,2000
0.7014,0.5579,5,7,1000
0.699,0.5508,5,7,1500
0.7133,0.555,5,7,2000
0.6372,0.549,5,8,1000
0.641,0.5487,5,8,1500
0.6471,0.5499,5,8,2000
0.5606,0.4943,5,9,1000
0.5584,0.493,5,9,1500
0.5665,0.4983,5,9,2000
0.5058,0.4305,5,10,1000
0.5321,0.4552,5,10,1500
0.5452,0.4636,5,10,2000
0.2148,0.2059,5,20,1000
0.2359,0.2254,5,20,1500
0.2378,0.2262,5,20,2000
0.1501,0.1485,5,30,1000
0.1596,0.1577,5,30,1500
0.1608,0.1582,5,30,2000
0.1396,0.1388,5,40,1000
0.1445,0.1435,5,40,1500
0.1456,0.1444,5,40,2000
0.1371,0.1367,5,50,1000
0.1415,0.141,5,50,1500
0.1422,0.1417,5,50,2000
0.7609,0.671,6,5,1000
0.759,0.6538,6,5,1500
0.7801,0.6658,6,5,2000
0.6028,0.4893,6,6,1000
0.6059,0.4834,6,6,1500
0.6158,0.4863,6,6,2000
0.4794,0.3835,6,7,1000
0.4808,0.3938,6,7,1500
0.4923,0.388,6,7,2000
0.4527,0.3969,6,8,1000
0.4524,0.4019,6,8,1500
0.453,0.3972,6,8,2000
0.4036,0.3663,6,9,1000
0.4143,0.3746,6,9,1500
0.4235,0.3852,6,9,2000
0.3326,0.2906,6,10,1000
0.3543,0.3032,6,10,1500
0.3669,0.3178,6,10,2000
0.1442,0.1408,6,20,1000
0.1548,0.1515,6,20,1500
0.1566,0.1544,6,20,2000
0.1318,0.1315,6,30,1000
0.1371,0.1364,6,30,1500
0.1375,0.137,6,30,2000
0.1307,0.1303,6,40,1000
0.1346,0.1343,6,40,1500
0.1348,0.1345,6,40,2000
0.1305,0.1304,6,50,1000
0.1342,0.1341,6,50,1500
0.1347,0.1346,6,50,2000
