0.789,0.196,3,5,1000
0.7822,0.1215,3,5,1500
0.7827,0.1055,3,5,2000
0.7334,0.3186,3,6,1000
0.7293,0.2093,3,6,1500
0.7308,0.2499,3,6,2000
0.7864,0.5926,3,7,1000
0.7413,0.5557,3,7,1500
0.7344,0.5568,3,7,2000
0.8094,0.7263,3,8,1000
0.8211,0.7211,3,8,1500
0.8301,0.7272,3,8,2000
0.8682,0.7405,3,9,1000
0.8936,0.7525,3,9,1500
0.8912,0.7521,3,9,2000
0.9193,0.7747,3,10,1000
0.9008,0.7574,3,10,1500
0.8911,0.7543,3,10,2000
1,0.9191,3,20,1000
1,0.9228,3,20,1500
1,0.9364,3,20,2000
0.786,0.7234,3,30,1000
0.8163,0.7465,3,30,1500
0.825,0.7562,3,30,2000
0.5948,0.5265,3,40,1000
0.6321,0.5568,3,40,1500
0.643,0.5717,3,40,2000
0.4334,0.3723,3,50,1000
0.4797,0.4155,3,50,1500
0.4828,0.4196,3,50,2000
0.8193,0.6026,4,5,1000
0.8082,0.5709,4,5,1500
0.8076,0.5679,4,5,2000
0.8021,0.6835,4,6,1000
0.7798,0.6219,4,6,1500
0.783,0.6345,4,6,2000
0.9044,0.7947,4,7,1000
0.8614,0.7417,4,7,1500
0.8547,0.7408,4,7,2000
1,0.9026,4,8,1000
0.9988,0.8924,4,8,1500
0.9891,0.891,4,8,2000
1,0.9288,4,9,1000
1,0.9362,4,9,1500
1,0.9445,4,9,2000
0.9687,0.8569,4,10,1000
1,0.8858,4,10,1500
1,0.8961,4,10,2000
0.5488,0.4771,4,20,1000
0.5989,0.5171,4,20,1500
0.6163,0.5395,4,20,2000
0.2864,0.2211,4,30,1000
0.3228,0.2531,4,30,1500
0.3293,0.2588,4,30,2000
0.2093,0.1379,4,40,1000
0.2259,0.1538,4,40,1500
0.2292,0.1566,4,40,2000
0.1803,0.1019,4,50,1000
0.1911,0.1111,4,50,1500
0.1919,0.1135,4,50,2000
0.9569,0.8233,5,5,1000
0.9238,0.7747,5,5,1500
0.911,0.7615,5,5,2000
0.9399,0.8524,5,6,1000
0.9279,0.8409,5,6,1500
0.9328,0.8362,5,6,2000
0.9977,0.9074,5,7,1000
1,0.9445,5,7,1500
1,0.939,5,7,2000
0.8584,0.7895,5,8,1000
0.8906,0.815,5,8,1500
0.8983,0.8217,5,8,2000
0.77,0.6935,5,9,1000
0.8087,0.7183,5,9,1500
0.8172,0.7291,5,9,2000
0.6968,0.6243,5,10,1000
0.7439,0.6612,5,10,1500
0.7571,0.6758,5,10,2000
0.2545,0.1877,5,20,1000
0.2812,0.2119,5,20,1500
0.2849,0.2145,5,20,2000
0.172,0.0931,5,30,1000
0.1835,0.1034,5,30,1500
0.1857,0.106,5,30,2000
0.1624,0.0832,5,40,1000
0.17,0.0885,5,40,1500
0.1708,0.0892,5,40,2000
0.159,0.0799,5,50,1000
0.1662,0.0838,5,50,1500
0.1668,0.0843,5,50,2000
1,0.9226,6,5,1000
1,0.9256,6,5,1500
1,0.9074,6,5,2000
0.9472,0.885,6,6,1000
0.9811,0.9028,6,6,1500
0.9882,0.9051,6,6,2000
0.7306,0.6699,6,7,1000
0.787,0.7224,6,7,1500
0.7989,0.7272,6,7,2000
0.614,0.5479,6,8,1000
0.6664,0.6036,6,8,1500
0.6726,0.611,6,8,2000
0.5355,0.4615,6,9,1000
0.5812,0.4979,6,9,1500
0.5958,0.5198,6,9,2000
0.4666,0.4036,6,10,1000
0.5283,0.4553,6,10,1500
0.541,0.4696,6,10,2000
0.172,0.096,6,20,1000
0.1858,0.1072,6,20,1500
0.188,0.1073,6,20,2000
0.1568,0.0787,6,30,1000
0.1647,0.0829,6,30,1500
0.1658,0.0835,6,30,2000
0.1564,0.0782,6,40,1000
0.1637,0.082,6,40,1500
0.1644,0.0823,6,40,2000
0.1559,0.0778,6,50,1000
0.163,0.0814,6,50,1500
0.1637,0.0818,6,50,2000
0.8326,0.767,7,5,1000
0.9111,0.8317,7,5,1500
0.9358,0.8587,7,5,2000
0.6959,0.6299,7,6,1000
0.752,0.6885,7,6,1500
0.771,0.7055,7,6,2000
0.5178,0.4622,7,7,1000
0.576,0.5111,7,7,1500
0.5808,0.511,7,7,2000
0.4135,0.3472,7,8,1000
0.4678,0.4013,7,8,1500
0.4817,0.4105,7,8,2000
0.349,0.2818,7,9,1000
0.3952,0.3263,7,9,1500
0.4043,0.3377,7,9,2000
0.2968,0.2327,7,10,1000
0.3461,0.2798,7,10,1500
0.3515,0.2813,7,10,2000
0.1553,0.0784,7,20,1000
0.1657,0.0847,7,20,1500
0.167,0.0858,7,20,2000
0.1531,0.0764,7,30,1000
0.1619,0.0808,7,30,1500
0.1628,0.0813,7,30,2000
0.1529,0.0762,7,40,1000
0.1617,0.0807,7,40,1500
0.1626,0.0812,7,40,2000
0.153,0.0764,7,50,1000
0.1618,0.0808,7,50,1500
0.1627,0.0813,7,50,2000
0.6712,0.6005,8,5,1000
0.76,0.6836,8,5,1500
0.7853,0.7082,8,5,2000
0.4784,0.4227,8,6,1000
0.5488,0.4841,8,6,1500
0.5696,0.5013,8,6,2000
0.3637,0.2959,8,7,1000
0.4053,0.337,8,7,1500
0.421,0.3528,8,7,2000
0.2872,0.22,8,8,1000
0.3332,0.2586,8,8,1500
0.3444,0.2741,8,8,2000
0.2382,0.1689,8,9,1000
0.2803,0.2072,8,9,1500
0.2844,0.2118,8,9,2000
0.2025,0.1324,8,10,1000
0.2387,0.1621,8,10,1500
0.2425,0.1698,8,10,2000
0.1512,0.0755,8,20,1000
0.161,0.0804,8,20,1500
0.1623,0.0812,8,20,2000
0.1507,0.0752,8,30,1000
0.1605,0.0802,8,30,1500
