W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,17,1000,0.8972,0.7728,1,0,0,0,0,0,0,0,0,0,0.9998,0.7547,1,0.7733,0.5205,0.1746,0,0,0,1.000,0.7304,1,1.000,0.6965,0.9984,1.000,0.369,0.6857,0.9999,0.9146,1,0,0,0,0.9992,0.7488,1,1.000,0.7045,1,1.000,0.7271,1,0,0,0,0,0,0,1.000,0.6766,0.9918,1.000,0.7570,1,0.2096,0.0748,0,0.7896,0.6544,0.8006,0,0,0,0,0,0,0,0,0,0.9999,0.7489,1
3,17,1500,0.9096,0.7744,1,0,0,0,0,0,0,0,0,0,0.9999,0.6821,0.9906,0.7347,0.4364,0.04186,0,0,0,1.000,0.7161,1,0.9719,0.6947,0.9990,1.000,0.3507,0.6321,1.000,0.8934,1,0,0,0,1.000,0.76,1,0.9967,0.6443,0.9677,1.000,0.7892,1,0.2036,0.1775,0,0,0,0,1.000,0.6947,0.9934,1.000,0.76,1,0.2174,0.0674,0,0.8005,0.6071,0.5078,0,0,0,0,0,0,0,0,0,0.9997,0.7616,1
3,17,2000,0.8867,0.7595,1,0,0,0,0,0,0,0,0,0,1.000,0.6438,0.9272,0.7696,0.4689,0.08673,0,0,0,0.9999,0.7037,1,1.000,0.7255,1,0.9999,0.3384,0.6310,0.9999,0.8583,1,0,0,0,0.9999,0.7029,1,0.9999,0.623,0.9346,0.9998,0.7332,1,0.2014,0.1730,0,0,0,0,1.000,0.6538,0.9119,1.000,0.7452,1,0.2099,0.0709,0,0.806,0.5874,0.4239,0,0,0,0,0,0,0,0,0,0.9999,0.7608,1
3,18,1000,0.9030,0.7517,1,0,0,0,0,0,0,0,0,0,0.9999,0.7281,1,0.7726,0.6378,0.3092,0,0,0,1.000,0.7814,1,1.000,0.7741,1,1.000,0.4312,0.7187,0.8910,0.7982,1,0,0,0,1.000,0.7157,1,0.9232,0.6461,0.9202,0.9092,0.5769,0.5737,0,0,0,0,0,0,0.9202,0.6196,0.4339,1.000,0.7596,1,0.3372,0.2513,0,0.7713,0.4656,0.05491,0,0,0,0,0,0,0,0,0,1.000,0.6598,0.8982
3,18,1500,0.9028,0.7496,1,0,0,0,0,0,0,0,0,0,1.000,0.7261,1,0.7342,0.5324,0.04004,0,0,0,1.000,0.8193,1,0.9999,0.7706,1,0.9999,0.4397,0.6676,0.8946,0.7668,1,0,0,0,1.000,0.7343,1,0.8513,0.6182,0.6147,0.8973,0.5677,0.6535,0.3025,0.2723,0,0,0,0,0.9269,0.6003,0.5954,1.000,0.7725,1,0.3269,0.2502,0,0.7947,0.4014,0.05415,0,0,0,0,0,0,0,0,0,1.000,0.6496,0.8617
3,18,2000,0.8686,0.7163,1,0,0,0,0,0,0,0,0,0,1.000,0.765,1,0.7696,0.5682,0.05898,0,0,0,1.000,0.7867,1,1.000,0.7994,1,0.9995,0.4376,0.5976,0.8578,0.7549,1,0,0,0,0.9997,0.70,1,0.8553,0.6198,0.5287,0.9008,0.5635,0.6186,0.2990,0.2645,0,0,0,0,0.9404,0.5868,0.4837,1.000,0.7727,1,0.3381,0.2455,0,0.7988,0.3119,0.05501,0,0,0,0,0,0,0,0,0,1.000,0.6624,0.8870
3,19,1000,0.8391,0.7647,1,0,0,0,0,0,0,0,0,0,1.000,0.7412,1,0.4707,0.2143,0,0,0,0,1.000,0.7325,1,0.9999,0.8082,1,0.6147,0.2389,0,0.7627,0.7047,1,0,0,0,0.9995,0.6854,0.9884,0.9346,0.7329,1,0.9365,0.6326,0.8018,0,0,0,0,0,0,1.000,0.8089,1,1.000,0.7699,1,0.5396,0.4374,0,0.6873,0.5694,0,0,0,0,0,0,0,0,0,0,0.9999,0.5649,0.7671
3,19,1500,0.8427,0.7476,1,0,0,0,0,0,0,0,0,0,0.9999,0.7538,1,0.425,0.1679,0,0,0,0,1.000,0.7731,1,1.000,0.8175,1,0.5487,0.2622,0,0.7594,0.6645,0.8852,0,0,0,0.9985,0.7162,1,0.9371,0.7675,1,0.8688,0.6468,0.7298,0.4355,0.3858,0,0,0,0,0.9999,0.7526,1,1.000,0.7435,1,0.4880,0.3733,0,0.7106,0.5102,0.02527,0,0,0,0,0,0,0,0,0,0.9999,0.5598,0.7479
3,19,2000,0.8568,0.7451,1,0,0,0,0,0,0,0,0,0,1.000,0.7508,1,0.3883,0.1668,0,0,0,0,1.000,0.6948,0.9986,0.9999,0.7903,1,0.5243,0.2390,0,0.7589,0.6705,0.8258,0,0,0,0.9999,0.6379,0.9350,0.9632,0.7284,1,0.8326,0.6417,0.6558,0.4381,0.3801,0,0,0,0,0.9999,0.7499,1,1.000,0.7561,1,0.4686,0.3686,0,0.7379,0.5136,0.1239,0,0,0,0,0,0,0,0,0,1.000,0.5642,0.7807
