W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,8,1500,0,1,0,1,0,1,0,1,0.9254,0.6831,0,1,0,1,0.9998,0.5675,0.9714,0.0953,0.5572,-0.692,0,1,0,1,0.9997,-0.131,1.000,0.4049,0.9997,0.1225,0,1,0,1,0.9997,-0.102,1.000,0.6664,0,1,0,1,0,1,0,1,0,1,0.9999,0.7550
3,8,2000,0,1,0,1,0,1,0,1,0.9568,0.7392,0,1,0,1,0.9203,0.5786,1.000,0.2136,0.4839,-0.796,0,1,0,1,0.9999,0.00,1.000,0.4477,0.9989,0.15,0,1,0,1,0.9989,0.0242,1.000,0.6646,0,1,0,1,0,1,0,1,0,1,0.9996,0.7469
3,9,1000,0,1,0,1,0,1,0,1,1.000,0.6591,0,1,0,1,1.000,0.7618,1.000,0.5585,0.9994,-0.164,0,1,0,1,1.000,0.4788,1.000,0.6749,0.9998,0.7033,0,1,0,1,0.7500,0.3292,1.000,0.6826,0,1,0,1,0,1,0,1,0,1,0.9844,0.7319
3,9,1500,0,1,0,1,0,1,0,1,0.9998,0.6029,0,1,0,1,0.9986,0.6551,1.000,0.3497,0.9983,-0.403,0,1,0,1,0.9998,0.2765,0.9999,0.714,0.9230,0.5942,0,1,0,1,0.9989,0.5375,0.9997,0.6394,0,1,0,1,0,1,0,1,0,1,0.9978,0.7286
3,9,2000,0,1,0,1,0,1,0,1,0.9998,0.4837,0,1,0,1,0.9937,0.6372,0.9990,0.3383,0.9139,-0.470,0,1,0,1,1.000,0.3488,1.000,0.6951,0.9998,0.5917,0,1,0,1,0.9999,0.5461,0.9999,0.6629,0,1,0,1,0,1,0,1,0,1,1.000,0.7313
3,10,1000,0,1,0,1,0,1,0,1,0.9999,0.3789,0,1,0,1,0.9106,0.6092,1.000,0.7922,0.7930,0.3634,0,1,0,1,1.000,0.4919,1.000,0.5028,0.7913,0.6872,0,1,0,1,0.7559,-0.092,1.000,0.7500,0,1,0,1,0,1,0,1,0,1,0.9390,0.6651
3,10,1500,0,1,0,1,0,1,0,1,0.9998,0.3434,0,1,0,1,0.9053,0.6545,1.000,0.7578,0.7097,0.2781,0,1,0,1,1.000,0.5317,1.000,0.3586,0.8754,0.6611,0,1,0,1,0.9737,0.1789,1.000,0.7495,0,1,0,1,0,1,0,1,0,1,0.9334,0.6621
3,10,2000,0,1,0,1,0,1,0,1,0.9999,0.2511,0,1,0,1,0.8912,0.6047,1.000,0.7205,0.6785,0.1995,0,1,0,1,1.000,0.6194,0.9999,0.2917,0.9307,0.6889,0,1,0,1,0.9998,0.3564,1.000,0.7250,0,1,0,1,0,1,0,1,0,1,0.9993,0.6646
3,20,1000,0,1,0,1,0,1,0,1,1.000,0.8761,0,1,0,1,1.000,0.7835,0.8452,0.6331,0.9008,0.6394,0,1,0,1,0.9997,0.3443,1.000,0.7954,0.88,0.7012,0,1,0,1,0.9969,0.8843,1.000,0.5724,0,1,0,1,0,1,0,1,0,1,0.9999,0.6970
3,20,1500,0,1,0,1,0,1,0,1,1.000,0.8632,0,1,0,1,0.9986,0.8526,0.8146,0.5261,0.7357,0.5261,0,1,0,1,0.9999,0.3451,1.000,0.7961,0.8265,0.6425,0,1,0,1,0.9626,0.8019,0.9999,0.5391,0,1,0,1,0,1,0,1,0,1,0.9994,0.6191
3,20,2000,0,1,0,1,0,1,0,1,1.000,0.8642,0,1,0,1,1.000,0.8226,0.8471,0.5589,0.6546,0.4646,0,1,0,1,1.000,0.4242,1.000,0.8142,0.8689,0.644,0,1,0,1,1.000,0.8344,1.000,0.5590,0,1,0,1,0,1,0,1,0,1,0.9999,0.6039
3,30,1000,0,1,0,1,0,1,0,1,1.000,0.9391,0,1,0,1,0.9143,0.7330,0.6853,0.5337,0.9747,0.8247,0,1,0,1,1.000,0.2790,0.8529,0.7513,0.6736,0.6226,0,1,0,1,0.9572,0.8493,0.9998,0.4601,0,1,0,1,0,1,0,1,0,1,1.000,0.6324
3,30,1500,0,1,0,1,0,1,0,1,1.000,0.8654,0,1,0,1,0.9999,0.8130,0.7515,0.4675,0.8072,0.6728,0,1,0,1,0.9995,0.2867,0.8943,0.7350,0.7043,0.6170,0,1,0,1,0.9315,0.8079,0.9988,0.4053,0,1,0,1,0,1,0,1,0,1,1.000,0.4669
3,30,2000,0,1,0,1,0,1,0,1,1.000,0.8855,0,1,0,1,1.000,0.8620,0.7554,0.5391,0.7678,0.6229,0,1,0,1,1.000,0.3385,0.9347,0.7743,0.7005,0.6124,0,1,0,1,0.9420,0.7916,1.000,0.4399,0,1,0,1,0,1,0,1,0,1,1.000,0.3889
3,40,1000,0,1,0,1,0,1,0,1,1.000,0.9587,0,1,0,1,0.8081,0.5793,0.5890,0.5118,0.8998,0.8209,0,1,0,1,1.000,0.2446,0.9153,0.8590,0.7408,0.7031,0,1,0,1,1.000,0.8469,1.000,0.3531,0,1,0,1,0,1,0,1,0,1,0.9998,0.6377
3,40,1500,0,1,0,1,0,1,0,1,0.9940,0.9052,0,1,0,1,0.8789,0.6403,0.6321,0.5049,0.9723,0.8874,0,1,0,1,1.000,0.2463,0.9121,0.8105,0.7292,0.6815,0,1,0,1,0.9438,0.8127,0.9999,0.3662,0,1,0,1,0,1,0,1,0,1,0.9990,0.4948
3,40,2000,0,1,0,1,0,1,0,1,1.000,0.9240,0,1,0,1,0.9279,0.6880,0.6880,0.5662,1.000,0.9472,0,1,0,1,1.000,0.3072,0.9232,0.8339,0.7244,0.6673,0,1,0,1,0.9504,0.8265,1.000,0.3726,0,1,0,1,0,1,0,1,0,1,1.000,0.4599
3,50,1000,0,1,0,1,0,1,0,1,1.000,0.9611,0,1,0,1,0.757,0.5611,0.5386,0.4672,0.9924,0.9239,0,1,0,1,0.9999,0.1525,0.9994,0.9252,0.7386,0.7166,0,1,0,1,0.9484,0.8064,0.9996,0.4055,0,1,0,1,0,1,0,1,0,1,0.9999,0.5463
3,50,1500,0,1,0,1,0,1,0,1,1.000,0.9560,0,1,0,1,0.8376,0.6146,0.5704,0.4891,0.9498,0.8957,0,1,0,1,1.000,0.1819,0.9750,0.8764,0.7115,0.6814,0,1,0,1,0.8724,0.8036,1.000,0.3898,0,1,0,1,0,1,0,1,0,1,0.9983,0.4093
3,50,2000,0,1,0,1,0,1,0,1,1.000,0.9658,0,1,0,1,0.8835,0.6623,0.6109,0.5341,0.8982,0.8382,0,1,0,1,0.9996,0.2187,0.9605,0.8610,0.6999,0.664,0,1,0,1,0.8639,0.7876,1.000,0.3830,0,1,0,1,0,1,0,1,0,1,1.000,0.4092
4,5,1000,0,1,0,1,0,1,0,1,0.9977,0.3012,0,1,0,1,0.8036,0.4783,0.9761,0.3733,0.9980,0.3983,0,1,0,1,0.9999,0.6661,0.8352,0.5292,0,1,0,1,0,1,0.7181,0.2942,0.9999,0.6631,0,1,0,1,0,1,0,1,0,1,0.8780,0.6667
4,5,1500,0,1,0,1,0,1,0,1,1.000,-0.035,0,1,0,1,0.6705,0.215,0.8459,0.3504,1.000,0.0171,0,1,0,1,1.000,0.6329,0.6822,0.3792,0.6729,0.5817,0,1,0,1,0.7278,0.395,0.9999,0.6667,0,1,0,1,0,1,0,1,0,1,0.9391,0.6666
4,5,2000,0,1,0,1,0,1,0,1,1.000,0.2192,0,1,0,1,0.6703,0.3617,0.9269,0.4488,0.9996,-0.309,0,1,0,1,1.000,0.5125,0.7341,0.4212,0.6814,0.6022,0,1,0,1,0.8538,0.5317,0.9992,0.6637,0,1,0,1,0,1,0,1,0,1,0.9677,0.6667
4,6,1000,0,1,0,1,0,1,0,1,0.7879,0.5217,0,1,0,1,1.000,0.8305,0.9999,0.6068,0.8099,0.50,0,1,0,1,1.000,0.7473,0.9202,0.6759,0,1,0,1,0,1,0.9637,0.7155,1.000,0.8029,0,1,0,1,0,1,0,1,0,1,0.9703,0.6661
4,6,1500,0,1,0,1,0,1,0,1,0.8437,0.6125,0,1,0,1,0.9999,0.7018,1.000,0.3803,0.8457,0.4616,0,1,0,1,0.9999,0.7281,0.9258,0.6168,0.3990,0.2293,0,1,0,1,0.9070,0.7438,1.000,0.7841,0,1,0,1,0,1,0,1,0,1,0.9322,0.6667
4,6,2000,0,1,0,1,0,1,0,1,0.9665,0.6539,0,1,0,1,1.000,0.798,0.9993,0.3366,0.9307,0.4911,0,1,0,1,0.9999,0.7333,0.9135,0.5821,0.3863,0.2473,0,1,0,1,0.9334,0.7062,1.000,0.7867,0,1,0,1,0,1,0,1,0,1,0.9499,0.6659
4,7,1000,0,1,0,1,0,1,0,1,1.000,0.7181,0,1,0,1,1.000,0.6698,0.9225,0.3592,0.6169,-0.135,0,1,0,1,1.000,0.5176,0.8437,0.5722,0,1,0,1,0,1,0.722,0.0558,1.000,0.6655,0,1,0,1,0,1,0,1,0,1,0.9345,0.6667
4,7,1500,0,1,0,1,0,1,0,1,1.000,0.6743,0,1,0,1,1.000,0.8030,0.9999,-0.110,0.3507,-0.065,0,1,0,1,1.000,0.6065,0.8221,0.5426,0.1763,0.1219,0,1,0,1,0.9681,0.2288,1.000,0.6666,0,1,0,1,0,1,0,1,0,1,0.9056,0.6620
4,7,2000,0,1,0,1,0,1,0,1,1.000,0.6891,0,1,0,1,0.9999,0.6508,1.000,0.0431,0.3552,0.0161,0,1,0,1,1.000,0.5955,0.8325,0.5868,0.1937,0.114,0,1,0,1,1.000,0.2338,1.000,0.6666,0,1,0,1,0,1,0,1,0,1,0.9493,0.6666
4,8,1000,0,1,0,1,0,1,0,1,0.9847,0.8446,0,1,0,1,1.000,0.8089,1.000,0.4269,0.3063,-0.205,0,1,0,1,1.000,0.4242,1.000,0.6342,0,1,0,1,0,1,0.7442,-0.416,0.9836,0.6663,0,1,0,1,0,1,0,1,0,1,0.9436,0.80
4,8,1500,0,1,0,1,0,1,0,1,0.9949,0.8540,0,1,0,1,1.000,0.7718,0.9992,0.5272,0.3146,-0.181,0,1,0,1,0.9999,0.4475,1.000,0.6066,0.8147,0.4708,0,1,0,1,0.9844,-0.018,1.000,0.6666,0,1,0,1,0,1,0,1,0,1,1.000,0.7932
4,8,2000,0,1,0,1,0,1,0,1,0.9964,0.8583,0,1,0,1,0.8771,0.6461,0.9999,0.6393,0.3616,-0.129,0,1,0,1,1.000,0.5112,1.000,0.6218,0.9017,0.4762,0,1,0,1,1.000,0.3062,1.000,0.6666,0,1,0,1,0,1,0,1,0,1,0.9999,0.7933
4,9,1000,0,1,0,1,0,1,0,1,0.9999,0.7947,0,1,0,1,0.9347,0.6901,0.9987,0.5897,1.000,0.5888,0,1,0,1,1.000,0.7654,0.9867,0.7710,0,1,0,1,0,1,0.9116,0.7525,1.000,0.7378,0,1,0,1,0,1,0,1,0,1,0.9050,0.7143
4,9,1500,0,1,0,1,0,1,0,1,0.9999,0.8165,0,1,0,1,0.8577,0.6699,0.9999,0.6802,0.9999,0.4884,0,1,0,1,1.000,0.5946,0.9080,0.6649,0.9998,0.8164,0,1,0,1,0.9998,0.7378,1.000,0.7108,0,1,0,1,0,1,0,1,0,1,0.9559,0.7141
4,9,2000,0,1,0,1,0,1,0,1,1.000,0.7346,0,1,0,1,0.9566,0.7820,0.9999,0.5885,0.9998,0.5369,0,1,0,1,0.9999,0.6051,0.9105,0.6624,1.000,0.8629,0,1,0,1,1.000,0.7430,1.000,0.7057,0,1,0,1,0,1,0,1,0,1,0.9818,0.7143
4,10,1000,0,1,0,1,0,1,0,1,1.000,0.7484,0,1,0,1,1.000,0.7961,0.8858,0.6698,0.6755,0.4049,0,1,0,1,0.9999,0.6810,0.9991,0.7406,0,1,0,1,0,1,0.8066,0.6216,0.9999,0.7788,0,1,0,1,0,1,0,1,0,1,0.8780,0.6667
4,10,1500,0,1,0,1,0,1,0,1,1.000,0.7104,0,1,0,1,1.000,0.8537,0.9999,0.7565,0.6084,0.3985,0,1,0,1,1.000,0.6060,1.000,0.5937,0.7779,0.7409,0,1,0,1,0.8830,0.5950,1.000,0.7866,0,1,0,1,0,1,0,1,0,1,0.9391,0.6666
4,10,2000,0,1,0,1,0,1,0,1,1.000,0.7858,0,1,0,1,1.000,0.8765,1.000,0.7832,0.5550,0.3699,0,1,0,1,0.9996,0.5948,0.9999,0.5832,0.7738,0.7316,0,1,0,1,0.8570,0.5938,1.000,0.7713,0,1,0,1,0,1,0,1,0,1,0.9677,0.6667
4,20,1000,0,1,0,1,0,1,0,1,1.000,0.9369,0,1,0,1,0.7451,0.5296,0.5293,0.4583,0.9703,0.8885,0,1,0,1,0.9999,0.3971,1.000,0.9466,0,1,0,1,0,1,0.9615,0.8299,1.000,0.4586,0,1,0,1,0,1,0,1,0,1,0.9999,0.7665
4,20,1500,0,1,0,1,0,1,0,1,1.000,0.9587,0,1,0,1,0.7880,0.6195,0.5610,0.4824,1.000,0.9260,0,1,0,1,0.9999,0.3342,1.000,0.9351,0.8441,0.8215,0,1,0,1,0.9886,0.8597,1.000,0.4326,0,1,0,1,0,1,0,1,0,1,0.9997,0.7257
