"positive", "compare_value", "same_user", "same_device"
0, 0.0930989010989004, 1, 0
0, 0.07211538461538569, 1, 0
0, 0.048333333333332784, 1, 0
0, 0.07622710622710827, 1, 0
0, 0.11269841269841374, 1, 0
0, 0.11059190031152644, 1, 0
0, 0.1418128654970785, 1, 0
0, 0.10671140939597412, 1, 0
0, 0.1070422535211275, 0, 1
0, 0.09781167108753275, 0, 1
0, 0.08823529411764697, 0, 1
0, 0.06363636363636338, 1, 0
0, 4.440892098500626E-16, 1, 0
0, 6.661338147750939E-16, 1, 0
0, 0.14516129032258118, 1, 0
0, 0.03174603174603319, 0, 0
0, 0.11864406779661096, 0, 0
0, 0.061538461538463096, 0, 0
0, 0.08327609890109955, 0, 0
0, 0.1014277389277396, 0, 0
0, 0.0, 0, 0
0, 4.440892098500626E-16, 0, 0
