W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,5,1000,0.9996,0.6636,0.9103,0,0,0,0,0,0,0,0,0,0.9998,-0.756,0.2444,0.9940,0.2423,0.3404,0,0,0,1.000,0.5908,0.8725,1.000,0.2457,0.5812,0.9999,-0.32,0.5134,0,0,0,0,0,0,1.000,0.5023,0.6589,0.6896,-0.089,0,0.9999,-0.547,0.3982,0.7772,0.5568,0.2198,0,0,0,0.9999,-0.158,0.5536,1.000,0.5408,0.7203,0.8006,-0.027,0.09249,0.8539,0.538,0.3283,0,0,0,0,0,0,0,0,0,0.9999,0.6661,0.9506
3,5,1500,0.9973,0.6651,0.9133,0,0,0,0,0,0,0,0,0,0.9999,-0.892,0.2530,0.9721,-0.297,0.2966,0,0,0,0.9999,0.6349,0.9521,0.9999,0.3628,0.5536,0.9999,-1.125,0.3152,0.6815,0.4802,0,0,0,0,1.000,0.6022,0.9478,0.7106,-0.162,0.0001285,0.9989,-0.61,0.2446,0.8954,0.6036,0.5047,0,0,0,0.9994,-0.007,0.5611,0.9998,0.494,0.5917,0.9528,-0.155,0.1724,0.7328,0.1617,0.01156,0,0,0,0,0,0,0,0,0,0.9998,0.643,0.7619
3,5,2000,0.9999,0.5407,0.6125,0,0,0,0,0,0,0,0,0,1.000,-0.427,0.5217,0.9995,-0.095,0.4484,0,0,0,0.9999,0.636,0.9283,1.000,0.4096,0.5907,0.9998,-1.228,0.3125,0.6848,0.3508,0,0,0,0,1.000,0.5747,0.9239,0.684,-0.282,0,0.9999,-0.512,0.2656,0.8862,0.5901,0.6778,0,0,0,1.000,0.1788,0.6011,0.9993,0.4404,0.5241,0.9462,-0.135,0.1734,0.7556,0.1719,0.02643,0,0,0,0,0,0,0,0,0,0.9998,0.6572,0.9004
3,6,1000,0.9999,0.5778,0.5835,0,0,0,0,0,0,0,0,0,1.000,-0.232,0.6852,1.000,0.8420,1,0,0,0,1.000,0.39,0.8534,1.000,0.43,0.8213,1.000,0.3297,0.3055,0,0,0,0,0,0,1.000,0.6244,0.9539,0.9429,0.635,0.8984,0.9614,0.4364,0.5664,0.4130,0.2467,0,0,0,0,1.000,0.5791,0.8401,1.000,0.7496,1,0.5030,0.1958,0,0.6792,0.1928,0,0,0,0,0,0,0,0,0,0,1.000,0.5931,0.7746
3,6,1500,0.9959,0.4665,0.4960,0,0,0,0,0,0,0,0,0,1.000,0.0717,0.7496,1.000,0.6287,0.8162,0,0,0,1.000,0.522,0.8197,1.000,-0.031,0.3712,1.000,0.2267,0.3570,0.6875,0.6294,0,0,0,0,0.9999,0.5232,0.8932,1.000,0.7723,1,0.9999,0.5573,0.8700,0.3278,0.1709,0,0,0,0,1.000,0.4981,0.6255,1.000,0.7772,1,0.4003,0.1706,0,0.7018,0.1008,0.001445,0,0,0,0,0,0,0,0,0,0.9998,0.6198,0.8593
3,6,2000,0.9974,0.3808,0.4964,0,0,0,0,0,0,0,0,0,1.000,-0.132,0.6701,0.9999,0.6934,0.9965,0,0,0,1.000,0.584,0.8032,1.000,0.1207,0.5376,0.9997,0.2903,0.3672,0.6803,0.6088,0,0,0,0,1.000,0.6353,0.9770,1.000,0.6906,0.9983,1.000,0.5412,0.8449,0.3767,0.1933,0,0,0,0,0.9999,0.4861,0.5626,1.000,0.7786,1,0.4212,0.1876,0,0.6667,0.065,0,0,0,0,0,0,0,0,0,0,0.9999,0.6558,0.9708
3,7,1000,0.9994,0.7498,1,0,0,0,0,0,0,0,0,0,1.000,0.5912,0.8360,0.3441,0.1006,0,0,0,0,1.000,0.5886,0.8069,0.9999,0.3334,0.6917,0.6262,-0.561,0,0,0,0,0,0,0,0.9935,0.2148,0.5501,0.8676,-0.248,0.08343,0.9998,0.1570,0.6905,0.2354,0.1377,0,0,0,0,0.9999,0.4954,0.5330,1.000,0.7429,1,0.4814,-0.097,0,0.7122,0.333,0.02025,0,0,0,0,0,0,0,0,0,1.000,0.6658,0.9786
3,7,1500,0.9999,0.7418,1,0,0,0,0,0,0,0,0,0,0.9997,0.6006,0.9092,0.3682,-0.167,0,0,0,0,1.000,0.7356,1,1.000,0.2917,0.4930,0.7352,-0.404,0.003117,0.3507,0.2436,0,0,0,0,0.9960,0.1518,0.4059,0.8252,-0.108,0.001670,1.000,0.2046,0.6050,0.2637,0.1289,0,0,0,0,1.000,0.5003,0.5606,1.000,0.7386,1,0.5943,-0.103,0,0.7372,0.1895,0.09104,0,0,0,0,0,0,0,0,0,1.000,0.6647,0.9786
3,7,2000,0.9993,0.6792,0.9781,0,0,0,0,0,0,0,0,0,1.000,0.5803,0.9166,0.3597,-0.142,0,0,0,0,1.000,0.7264,1,0.9999,0.1554,0.3390,0.7885,-0.36,0.006924,0.4011,0.2461,0,0,0,0,0.9987,0.1254,0.3870,0.8134,-0.108,0.001558,0.9998,0.22,0.5294,0.2633,0.0853,0,0,0,0,0.9626,0.5033,0.5192,1.000,0.7381,1,0.4717,-0.224,0,0.7185,0.2486,0.03408,0,0,0,0,0,0,0,0,0,0.9942,0.6637,0.9704
3,8,1000,0.9996,0.7243,1,0,0,0,0,0,0,0,0,0,1.000,0.7365,1,0.2225,-0.138,0,0,0,0,0.9999,0.5367,0.8960,0.9998,0.2578,0.1301,0.9374,-0.273,0.1158,0,0,0,0,0,0,0.9912,0.2377,0.6328,1.000,0.4715,0.9027,1.000,-0.704,0.5450,0.4494,0.1853,0,0,0,0,0.9999,0.5071,0.8267,1.000,0.7940,1,0.5285,-0.746,0,0.7990,0.6515,0.6593,0,0,0,0,0,0,0,0,0,1.000,0.5806,0.9376
3,8,1500,0.9985,0.6631,0.9419,0,0,0,0,0,0,0,0,0,1.000,0.61,0.9632,0.2411,-0.297,0,0,0,0,1.000,0.5831,0.8873,0.9783,0.1533,0.1990,0.7918,-0.446,0.01640,1.000,0.8714,1,0,0,0,1.000,0.42,0.7015,1.000,0.3170,0.7081,1.000,0.2506,0.7600,0.5279,0.2191,0,0,0,0,1.000,0.555,0.9573,1.000,0.7347,1,0.7779,-0.953,0.02478,0.7507,0.5947,0.2601,0,0,0,0,0,0,0,0,0,0.9898,0.5594,0.9351
3,8,2000,0.9999,0.5963,0.7616,0,0,0,0,0,0,0,0,0,1.000,0.632,0.9480,0.2931,-0.315,0,0,0,0,0.9532,0.5608,0.8465,0.9858,0.1758,0.2409,0.8413,-0.451,0.04581,1.000,0.8467,1,0,0,0,1.000,0.5226,0.7832,1.000,0.3311,0.7263,0.9999,0.3055,0.7649,0.5506,0.2332,0,0,0,0,1.000,0.5303,0.9252,1.000,0.7295,1,0.8264,-1.054,0.06315,0.7769,0.5712,0.3533,0,0,0,0,0,0,0,0,0,1.000,0.5224,0.8839
3,9,1000,1.000,0.5136,0.6947,0,0,0,0,0,0,0,0,0,0.9999,0.3094,0.4907,0.5833,-0.029,0,0,0,0,1.000,0.6243,0.9201,1.000,0.3027,0.8586,0.9995,-0.612,0.2317,0,0,0,0,0,0,1.000,0.7396,1,1.000,0.6021,0.9380,1.000,0.6171,0.8805,0.4978,0.3613,0,0,0,0,1.000,0.5633,0.8763,1.000,0.6166,0.9636,0.4881,0.1029,0,0.7708,0.1506,0.05898,0,0,0,0,0,0,0,0,0,0.9997,0.5954,0.7591
3,9,1500,0.9999,0.2388,0.4557,0,0,0,0,0,0,0,0,0,0.9999,0.1379,0.4433,0.5554,-0.235,0,0,0,0,1.000,0.6544,0.9657,0.9995,0.2955,0.2509,0.9999,-0.432,0.3717,0.825,0.7587,1,0,0,0,1.000,0.6526,0.9608,0.9276,0.5726,0.7468,0.9998,0.6054,0.9228,0.4443,0.32,0,0,0,0,1.000,0.6893,0.9968,1.000,0.726,1,0.5227,0.0926,0,0.7686,-0.152,0.05636,0,0,0,0,0,0,0,0,0,0.9998,0.5777,0.8243
3,9,2000,0.9993,0.1332,0.425,0,0,0,0,0,0,0,0,0,1.000,0.3047,0.5486,0.6387,-0.170,0,0,0,0,1.000,0.6351,0.9462,0.9995,0.3488,0.4329,0.9999,-0.41,0.3799,0.8077,0.7521,1,0,0,0,1.000,0.6568,0.9943,0.8773,0.5547,0.5545,1.000,0.6726,0.9623,0.4456,0.3519,0,0,0,0,1.000,0.6626,0.9670,1.000,0.8086,1,0.4911,0.0756,0,0.7822,-0.387,0.03616,0,0,0,0,0,0,0,0,0,0.9997,0.5851,0.8510
3,10,1000,0.9999,0.6639,0.9210,0,0,0,0,0,0,0,0,0,0.9998,-0.363,0.4521,0.38,0.1346,0,0,0,0,1.000,0.6664,0.9789,1.000,0.6412,0.9646,0.8101,0.1344,0.05575,0,0,0,0,0,0,1.000,0.5531,0.8113,1.000,0.5186,0.7494,0.9998,0.6175,0.9474,0.372,0.3079,0,0,0,0,0.9999,0.6753,0.9981,1.000,0.6464,0.9825,0.4063,0.3093,0,0.8340,0.3338,0.1083,0,0,0,0,0,0,0,0,0,0.9979,0.4706,0.5394
3,10,1500,0.9979,0.6667,0.9301,0,0,0,0,0,0,0,0,0,0.9998,-0.481,0.4593,0.3823,-0.114,0,0,0,0,0.9998,0.6048,0.8395,1.000,0.6226,0.9395,0.8101,0.1832,0.08320,0.8712,0.7008,1,0,0,0,1.000,0.5014,0.7461,1.000,0.615,0.9852,0.9999,0.6589,0.9731,0.3727,0.2560,0,0,0,0,1.000,0.6111,0.8632,0.9998,0.7847,1,0.4510,0.3105,0,0.8188,0.0338,0.05636,0,0,0,0,0,0,0,0,0,0.9998,0.4797,0.4626
3,10,2000,0.9990,0.6394,0.8795,0,0,0,0,0,0,0,0,0,1.000,-0.099,0.6279,0.3916,-0.127,0,0,0,0,1.000,0.6322,0.9019,1.000,0.6576,0.9714,0.8184,0.1472,0.06698,0.8950,0.7178,1,0,0,0,0.9997,0.4886,0.7395,1.000,0.6325,0.9804,0.9998,0.6789,0.9870,0.3479,0.2599,0,0,0,0,1.000,0.6122,0.7870,1.000,0.8145,1,0.4339,0.3034,0,0.816,-0.20,0.03686,0,0,0,0,0,0,0,0,0,1.000,0.4779,0.2914
3,20,1000,0.9998,0.6661,0.9413,0,0,0,0,0,0,0,0,0,1.000,0.7582,1,0.6074,0.5115,0,0,0,0,0.9997,0.7620,1,0.9724,0.7607,1,0.8356,0.3814,0.5491,0,0,0,0,0,0,0.9999,0.0084,0.06419,1.000,0.7744,1,0.8716,0.4727,0.1749,0.48,0.4376,0,0,0,0,0.9797,0.6849,0.9948,0.9997,0.3655,0.09055,0.5194,0.3520,0,0.7965,0.5902,0.1822,0,0,0,0,0,0,0,0,0,0.9993,0.3840,0.1430
3,20,1500,0.9992,0.5305,0.5560,0,0,0,0,0,0,0,0,0,1.000,0.7538,1,0.5577,0.4106,0,0,0,0,0.9999,0.7744,1,0.9588,0.7360,1,0.7462,0.3367,0.1600,0.8574,0.8038,1,0,0,0,0.9984,0.0545,0.05512,1.000,0.7757,1,0.8093,0.4419,0.2369,0.4568,0.4023,0,0,0,0,0.9850,0.6970,0.9992,1.000,0.4168,0.07336,0.5270,0.3981,0,0.8034,0.5176,0.1069,0,0,0,0,0,0,0,0,0,1.000,0.3327,0.1384
3,20,2000,0.9993,0.5167,0.5558,0,0,0,0,0,0,0,0,0,1.000,0.7732,1,0.5681,0.3989,0,0,0,0,1.000,0.7726,1,1.000,0.7860,1,0.7361,0.3426,0.1048,0.8987,0.8041,1,0,0,0,0.9981,0.0019,0.05099,1.000,0.7782,1,0.8239,0.4593,0.2397,0.4449,0.3902,0,0,0,0,0.9999,0.7170,1,0.9982,0.4379,0.07406,0.4713,0.3796,0,0.8245,0.4648,0.1085,0,0,0,0,0,0,0,0,0,1.000,0.3466,0.1366
3,30,1000,0.9999,0.4996,0.6033,0,0,0,0,0,0,0,0,0,1.000,0.8793,1,0.7011,0.6210,0.001112,0,0,0,1.000,0.8789,1,0.8281,0.6793,0.9421,0.8424,0.5994,0.7126,0,0,0,0,0,0,0.9999,0.1384,0.07049,0.9706,0.7589,1,0.8452,0.6271,0.5871,0.4739,0.4225,0,0,0,0,0.9417,0.6702,0.9262,1.000,0.2980,0.07996,0.5853,0.4634,0,0.872,0.6916,0.9533,0,0,0,0,0,0,0,0,0,0.9999,0.3826,0.1336
3,30,1500,0.9998,0.3172,0.4735,0,0,0,0,0,0,0,0,0,1.000,0.8407,1,0.6341,0.5227,0,0,0,0,1.000,0.8619,1,0.8845,0.6915,0.9921,0.7870,0.5308,0.3846,0.7220,0.7059,1,0,0,0,0.9987,0.1284,0.06236,0.9975,0.8483,1,0.8409,0.6255,0.5831,0.4675,0.4080,0,0,0,0,0.9034,0.6788,0.9635,0.9991,0.2788,0.05860,0.5380,0.4355,0,0.8648,0.6679,0.6553,0,0,0,0,0,0,0,0,0,0.9999,0.3283,0.1074
3,30,2000,0.9997,0.2511,0.4379,0,0,0,0,0,0,0,0,0,1.000,0.8400,1,0.6217,0.5018,0,0,0,0,1.000,0.8477,1,0.9224,0.7477,1,0.7557,0.5121,0.07923,0.7382,0.7133,1,0,0,0,0.9999,0.1113,0.05659,0.9991,0.8208,1,0.8423,0.6189,0.5641,0.4560,0.3953,0,0,0,0,0.8911,0.6580,0.8429,1.000,0.2854,0.05991,0.5280,0.4329,0,0.8821,0.5765,0.5556,0,0,0,0,0,0,0,0,0,0.9998,0.3335,0.1163
3,40,1000,0.9998,0.5337,0.6219,0,0,0,0,0,0,0,0,0,1.000,0.7797,1,0.8885,0.7741,1,0,0,0,0.9999,0.7958,1,0.8157,0.7029,1,1.000,0.9136,1,0,0,0,0,0,0,0.9991,0.0497,0.05885,0.9693,0.8065,1,0.9999,0.8772,1,0.5604,0.5362,0,0,0,0,0.9176,0.7445,1,0.9999,0.2540,0.07249,0.5353,0.4490,0,0.9192,0.8098,1,0,0,0,0,0,0,0,0,0,0.9996,0.2995,0.1184
3,40,1500,1.000,0.4296,0.5049,0,0,0,0,0,0,0,0,0,1.000,0.7592,1,0.8066,0.6634,0.6470,0,0,0,1.000,0.8788,1,0.8980,0.7632,1,0.9898,0.8681,1,0.9378,0.9178,1,0,0,0,0.9999,0.0994,0.05466,0.9545,0.8009,1,1.000,0.8324,1,0.5402,0.5029,0,0,0,0,0.9268,0.7557,1,0.9999,0.2116,0.05507,0.5,0.4463,0,0.9380,0.7591,1,0,0,0,0,0,0,0,0,0,1.000,0.2702,0.1016
3,40,2000,1.000,0.4004,0.4875,0,0,0,0,0,0,0,0,0,1.000,0.7933,1,0.7642,0.6320,0.3955,0,0,0,1.000,0.8471,1,0.9423,0.8339,1,0.9445,0.8320,1,0.9555,0.9238,1,0,0,0,0.9999,0.0649,0.05247,0.9685,0.7914,1,1.000,0.8349,1,0.5245,0.4855,0,0,0,0,0.9220,0.7382,1,0.9999,0.2124,0.05476,0.4870,0.4335,0,0.9533,0.7194,1,0,0,0,0,0,0,0,0,0,0.9994,0.2894,0.1052
3,50,1000,0.9999,0.3315,0.5226,0,0,0,0,0,0,0,0,0,0.9999,0.8328,1,0.8020,0.7232,1,0,0,0,0.9740,0.7724,1,0.7710,0.6941,0.9883,0.9336,0.8007,1,0,0,0,0,0,0,0.9998,0.0108,0.06244,0.9362,0.8440,1,0.9519,0.8420,1,0.4211,0.3883,0,0,0,0,0.8911,0.7677,1,0.9997,0.2198,0.06727,0.4382,0.3734,0,0.8859,0.7997,1,0,0,0,0,0,0,0,0,0,0.9998,0.2494,0.1111
3,50,1500,0.9985,0.1622,0.4088,0,0,0,0,0,0,0,0,0,0.9671,0.7842,1,0.7111,0.5967,0.03094,0,0,0,1.000,0.8826,1,0.8363,0.7522,1,0.8597,0.7092,1,0.7716,0.7539,1,0,0,0,0.9999,0.0378,0.05332,0.9795,0.8802,1,0.9229,0.7972,1,0.4187,0.3726,0,0,0,0,0.8670,0.7498,1,0.9994,0.1136,0.04726,0.4511,0.3882,0,0.8911,0.7922,1,0,0,0,0,0,0,0,0,0,0.9999,0.22,0.08609
