W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,5,1000,0.7562,0.658,0.4964,0,0,0,0,0,0,0,0,0,1.000,-0.438,0.4787,0,0,0,0,0,0,0.9447,0.2399,0.2877,0.9998,0.1673,0.5185,0.9998,-0.711,0.3648,0,0,0,0,0,0,0.9999,0.5301,0.5900,0.9999,0.3413,0.4382,0.9988,-0.278,0.2176,0,0,0,0,0,0,0.9999,-0.443,0.1872,1.000,0.6425,0.8785,0.0833,0.0833,0,0.9986,0.6364,0.7891,0,0,0,0,0,0,0,0,0,0.9999,0.6642,0.8238
3,5,1500,0.7732,0.6436,0.5345,0,0,0,0,0,0,0,0,0,1.000,-0.44,0.2601,0.9986,0.5553,0.5859,0,0,0,1.000,0.4146,0.3188,1.000,0.3112,0.5269,0.9997,-1.255,0.2226,0,0,0,0,0,0,1.000,0.579,0.8907,0.9997,0.4698,0.5116,0.9998,-0.10,0.2946,0,0,0,0,0,0,0.9998,-0.092,0.4258,1.000,0.6616,0.9427,0.0833,0.0833,0,0.9602,0.4738,0.5332,0,0,0,0,0,0,0,0,0,1.000,0.6403,0.6602
3,5,2000,0.8235,0.6393,0.5665,0,0,0,0,0,0,0,0,0,0.9996,-0.772,0.1956,0.9981,0.4907,0.6275,0,0,0,1.000,0.5314,0.6917,1.000,0.2872,0.4545,1.000,-1.345,0.1504,0,0,0,0,0,0,0.9999,0.4059,0.8390,0.9999,0.4714,0.5378,0.9997,-0.143,0.3506,0,0,0,0,0,0,1.000,0.0817,0.7112,1.000,0.6455,0.9334,0.0833,0.0833,0,0.9062,0.4769,0.4746,0,0,0,0,0,0,0,0,0,1.000,0.6392,0.6623
3,6,1000,0.6796,0.6268,0,0,0,0,0,0,0,0,0,0,0.9999,0.1325,0.5936,0,0,0,0,0,0,0.9999,0.4156,0.6860,0.9999,0.3897,0.7666,0.9984,0.2733,0.5519,0,0,0,0,0,0,1.000,0.7442,1,0.9165,0.6261,0.8701,0.7236,0.0494,0.01680,0,0,0,0,0,0,0.9999,0.5874,0.9366,1.000,0.7564,1,0.2562,0.0472,0,0.8541,0.6542,0.5755,0,0,0,0,0,0,0,0,0,0.9999,0.6402,0.8755
3,6,1500,0.8624,0.6661,0.4397,0,0,0,0,0,0,0,0,0,1.000,0.2665,0.6727,1.000,0.9544,1,0,0,0,1.000,0.358,0.5728,1.000,0.3403,0.6370,0.9996,-0.093,0.6199,0,0,0,0,0,0,1.000,0.7147,1,0.7387,0.4341,0.04805,0.8470,-0.084,0.08999,0,0,0,0,0,0,1.000,0.708,1,1.000,0.7262,1,0.2723,-0.006,0,0.7069,0.4062,0.009063,0,0,0,0,0,0,0,0,0,1.000,0.6514,0.8225
3,6,2000,0.8881,0.6647,0.4308,0,0,0,0,0,0,0,0,0,1.000,0.1108,0.6560,1.000,0.9399,1,0,0,0,1.000,0.2924,0.6068,1.000,0.5203,0.8043,0.9999,0.0337,0.6296,0,0,0,0,0,0,1.000,0.6719,0.9424,0.7844,0.4116,0.2321,0.9999,-0.124,0.1627,0,0,0,0,0,0,1.000,0.7349,1,1.000,0.7151,1,0.286,0.0543,0,0.6775,0.2639,0,0,0,0,0,0,0,0,0,0,0.9999,0.6498,0.8761
3,7,1000,0.6706,0.6253,0,0,0,0,0,0,0,0,0,0,0.9997,0.5583,0.8100,0,0,0,0,0,0,1.000,0.518,0.6845,0.9999,0.2794,0.6273,0.5625,-0.709,0,0,0,0,0,0,0,1.000,0.4588,0.5012,1.000,0.3229,0.5851,1.000,0.0391,0.5534,0,0,0,0,0,0,1.000,0.5225,0.7072,0.9928,0.7222,1,0.3636,-0.075,0,0.7744,0.6612,0.3802,0,0,0,0,0,0,0,0,0,1.000,0.6504,0.7996
3,7,1500,0.8242,0.6508,0.1887,0,0,0,0,0,0,0,0,0,1.000,0.5785,0.8500,0.3052,0.2267,0,0,0,0,1.000,0.7395,1,0.9999,0.246,0.4130,0.5548,-0.931,0,0,0,0,0,0,0,1.000,0.5057,0.7755,1.000,0.2628,0.4154,0.9998,0.0723,0.5316,0,0,0,0,0,0,0.9586,0.5775,0.8698,1.000,0.715,1,0.295,-0.123,0,0.7474,0.3815,0.02115,0,0,0,0,0,0,0,0,0,0.9959,0.642,0.8380
3,7,2000,0.8216,0.6489,0.2347,0,0,0,0,0,0,0,0,0,0.9999,0.4567,0.7840,0.3770,0.2315,0,0,0,0,1.000,0.7094,1,1.000,0.0806,0.3502,0.5867,-0.818,0,0,0,0,0,0,0,1.000,0.4603,0.5909,0.9993,0.275,0.4259,0.9999,0.0903,0.5374,0,0,0,0,0,0,0.9788,0.7017,1,1.000,0.645,0.9276,0.2742,-0.132,0,0.6673,0.2358,0,0,0,0,0,0,0,0,0,0,0.9999,0.6341,0.8017
3,8,1000,0.7584,0.7379,1,0,0,0,0,0,0,0,0,0,0.9503,0.575,0.5606,0,0,0,0,0,0,1.000,0.6322,0.9453,1.000,0.4842,0.3679,0.6667,-0.782,0,0,0,0,0,0,0,1.000,0.3698,0.5088,0.9999,-0.016,0.3660,1.000,-1.493,0.3631,0,0,0,0,0,0,1.000,0.4294,0.8215,1.000,0.7375,1,0.5834,-0.499,0,0.9581,0.7343,1,0,0,0,0,0,0,0,0,0,1.000,0.7440,1
3,8,1500,0.8229,0.7415,1,0,0,0,0,0,0,0,0,0,0.8679,0.5369,0.4540,0.2622,0.1339,0,0,0,0,1.000,0.6192,0.9521,0.9997,0.0781,0.1042,0.5239,-0.803,0,0,0,0,0,0,0,1.000,0.2945,0.3195,0.9999,0.0008,0.4346,0.9999,-0.886,0.1795,0,0,0,0,0,0,1.000,0.5741,0.8744,1.000,0.7807,1,0.3241,-0.768,0,0.9331,0.7381,1,0,0,0,0,0,0,0,0,0,1.000,0.7332,1
3,8,2000,0.8303,0.7456,1,0,0,0,0,0,0,0,0,0,0.889,0.5508,0.4597,0.28,0.1606,0,0,0,0,0.9468,0.5689,0.8708,0.9996,0.0558,0.09143,0.5425,-0.829,0,0,0,0,0,0,0,1.000,0.3355,0.4137,1.000,-0.036,0.3793,0.9997,-0.958,0.2474,0,0,0,0,0,0,1.000,0.5625,0.8840,1.000,0.7339,1,0.2481,-0.98,0,0.8898,0.7289,1,0,0,0,0,0,0,0,0,0,1.000,0.7315,1
3,9,1000,0.8205,0.7691,1,0,0,0,0,0,0,0,0,0,1.000,0.5789,0.9398,0,0,0,0,0,0,0.9999,0.6637,0.9922,0.9999,0.4646,0.8563,0.9998,-1.017,0.2685,0,0,0,0,0,0,0.9964,0.714,1,1.000,0.7123,1,1.000,0.6431,0.9000,0,0,0,0,0,0,1.000,0.6288,0.9780,1.000,0.7849,1,0.3982,0.1128,0,0.7616,0.4717,0.1875,0,0,0,0,0,0,0,0,0,1.000,0.7332,1
3,9,1500,0.8360,0.7579,1,0,0,0,0,0,0,0,0,0,1.000,0.58,0.7269,0.5683,0.5079,0,0,0,0,1.000,0.6225,0.9474,0.9973,0.2310,0.2968,0.8173,-1.019,0.03323,0,0,0,0,0,0,1.000,0.6935,0.9808,0.9505,0.5665,0.6937,0.9816,0.5456,0.5344,0,0,0,0,0,0,0.9999,0.6071,0.8983,1.000,0.6932,0.9975,0.3494,-0.038,0,0.8109,0.4761,0.1299,0,0,0,0,0,0,0,0,0,1.000,0.7232,1
3,9,2000,0.8631,0.7571,1,0,0,0,0,0,0,0,0,0,1.000,0.54,0.6590,0.6521,0.5206,0,0,0,0,1.000,0.6714,0.9922,1.000,0.3216,0.7226,0.9358,-0.875,0.1505,0,0,0,0,0,0,1.000,0.6335,0.9227,0.8874,0.5062,0.3224,0.9997,0.4656,0.4761,0,0,0,0,0,0,1.000,0.6884,0.9970,1.000,0.7531,1,0.3557,-0.041,0,0.8013,0.385,0.09491,0,0,0,0,0,0,0,0,0,1.000,0.7209,1
