"positive", "compare_value"
0, 0.7485714285714286
0, 0.5942857142857143
0, 0.49714285714285716
0, 0.6000000000000001
0, 0.7428571428571429
0, 0.0
0, 0.7085714285714286
1, 0.7028571428571428
0, 0.0
0, 0.7136363636363636
0, 0.0
0, 0.6863636363636364
0, 0.65
0, 0.6318181818181818
0, 0.7590909090909091
0, 0.0
0, 0.7136363636363636
1, 0.7363636363636363
0, 0.5785714285714285
0, 0.7714285714285716
0, 0.5857142857142856
0, 0.7285714285714285
0, 0.6892857142857143
0, 0.5392857142857143
0, 0.7321428571428571
0, 0.8392857142857142
0, 0.6892857142857143
1, 0.7178571428571429
0, 0.6484848484848484
0, 0.7151515151515151
0, 0.5696969696969696
0, 0.7151515151515152
0, 0.5878787878787878
0, 0.6424242424242426
0, 0.6363636363636364
0, 0.7575757575757576
0, 0.6666666666666666
1, 0.7212121212121212
0, 0.544
0, 0.508
0, 0.5680000000000001
0, 0.608
0, 0.5399999999999999
0, 0.584
0, 0.68
0, 0.596
1, 0.664
0, 0.6136363636363636
0, 0.6409090909090909
0, 0.5318181818181819
0, 0.6
0, 0.5636363636363637
0, 0.6227272727272728
0, 0.6954545454545454
0, 0.7590909090909091
0, 0.6
1, 0.7227272727272729
0, 0.6944444444444444
0, 0.6888888888888889
0, 0.6166666666666666
0, 0.638888888888889
0, 0.5777777777777778
0, 0.6666666666666667
0, 0.7888888888888889
0, 0.7777777777777779
0, 0.6777777777777777
1, 0.8166666666666667
0, 0.5866666666666667
0, 0.6799999999999999
0, 0.44666666666666666
0, 0.6199999999999999
0, 0.6066666666666667
0, 0.66
0, 0.7133333333333334
0, 0.76
0, 0.7666666666666666
1, 0.6866666666666668
