0.4666,3,5,500
0.5001,3,5,800
0.5001,3,5,1000
0.60,3,5,1500
0.66,3,5,2000
0.6,3,6,500
0.5834,3,6,800
0.5834,3,6,1000
0.6665,3,6,1500
0.5861,3,6,2000
0.7,3,7,500
0.6042,3,7,800
0.6042,3,7,1000
0.60,3,7,1500
0.6019,3,7,2000
0.7,3,8,500
0.6875,3,8,800
0.6875,3,8,1000
0.65,3,8,1500
0.6129,3,8,2000
0.7,3,9,500
0.6875,3,9,800
0.6875,3,9,1000
0.7,3,9,1500
0.6987,3,9,2000
0.7,3,10,500
0.5938,3,10,800
0.5938,3,10,1000
0.675,3,10,1500
0.6452,3,10,2000
0.7,3,20,500
0.8125,3,20,800
0.8125,3,20,1000
0.85,3,20,1500
0.8387,3,20,2000
0.7,3,30,500
0.8125,3,30,800
0.8125,3,30,1000
0.85,3,30,1500
0.9032,3,30,2000
0.7,3,40,500
0.8125,3,40,800
0.8125,3,40,1000
0.85,3,40,1500
0.9032,3,40,2000
0.7,3,50,500
0.8125,3,50,800
0.8125,3,50,1000
0.85,3,50,1500
0.9032,3,50,2000
0.7,3,60,500
0.8125,3,60,800
0.8125,3,60,1000
0.85,3,60,1500
0.9032,3,60,2000
0.7,3,70,500
0.8125,3,70,800
0.8125,3,70,1000
0.85,3,70,1500
0.9032,3,70,2000
0.7,3,80,500
0.8125,3,80,800
0.8125,3,80,1000
0.85,3,80,1500
0.9032,3,80,2000
0.7,3,90,500
0.8125,3,90,800
0.8125,3,90,1000
0.85,3,90,1500
0.9032,3,90,2000
0.7,3,100,500
0.8125,3,100,800
0.8125,3,100,1000
0.85,3,100,1500
0.9032,3,100,2000
0.5,4,5,500
0.5938,4,5,800
0.5938,4,5,1000
0.675,4,5,1500
0.7226,4,5,2000
0.6,4,6,500
0.6875,4,6,800
0.6875,4,6,1000
0.75,4,6,1500
0.6665,4,6,2000
0.6,4,7,500
0.75,4,7,800
0.75,4,7,1000
0.7,4,7,1500
0.7313,4,7,2000
0.6,4,8,500
0.6875,4,8,800
0.6875,4,8,1000
0.65,4,8,1500
0.7419,4,8,2000
0.6,4,9,500
0.75,4,9,800
0.75,4,9,1000
0.8,4,9,1500
0.7419,4,9,2000
0.6,4,10,500
0.6875,4,10,800
0.6875,4,10,1000
0.75,4,10,1500
