"ngram", "key", "probability_key"
108, 108, 0.26666666666666666
108, 10, 0.013333333333333334
108, 108, 0.3466666666666667
108, 107, 0.013333333333333334
108, 121, 0.013333333333333334
108, 116, 0.02666666666666667
108, 106, 0.013333333333333334
108, -2, 0.013333333333333334
108, -1, 0.02666666666666667
108, 46, 0.04
108, 121, 0.013333333333333334
108, -3, 0.013333333333333334
108, 106, 0.02666666666666667
108, -1, 0.05333333333333334
108, 104, 0.013333333333333334
108, 102, 0.013333333333333334
108, -2, 0.02666666666666667
108, 98, 0.013333333333333334
108, 120, 0.013333333333333334
108, 99, 0.013333333333333334
108, 99, 0.013333333333333334
108, 10, 0.013333333333333334
-5, 121, 0.01639344262295082
-5, 10, 0.08196721311475409
-5, 32, 0.06557377049180328
-5, -5, 0.06557377049180328
-5, -5, 0.09836065573770492
-5, -2, 0.06557377049180328
-5, -1, 0.04918032786885246
-5, 46, 0.06557377049180328
-5, 121, 0.01639344262295082
-5, 108, 0.01639344262295082
-5, 120, 0.03278688524590164
-5, 116, 0.04918032786885246
-5, 46, 0.08196721311475409
-5, 120, 0.04918032786885246
-5, 116, 0.03278688524590164
-5, 32, 0.04918032786885246
-5, -3, 0.01639344262295082
-5, -2, 0.08196721311475409
-5, 104, 0.01639344262295082
-5, 101, 0.01639344262295082
-5, 10, 0.01639344262295082
-5, -3, 0.01639344262295082
121, -3, 0.0379746835443038
121, 99, 0.012658227848101266
121, 32, 0.056962025316455694
121, 104, 0.02531645569620253
121, 102, 0.06329113924050633
121, -1, 0.056962025316455694
121, -1, 0.0759493670886076
121, 103, 0.006329113924050633
121, 46, 0.05063291139240506
121, 32, 0.0949367088607595
121, 10, 0.05063291139240506
121, 118, 0.0189873417721519
121, 46, 0.02531645569620253
121, 109, 0.006329113924050633
121, 109, 0.006329113924050633
121, 122, 0.006329113924050633
121, -2, 0.006329113924050633
121, 122, 0.0379746835443038
121, -2, 0.04430379746835443
121, 10, 0.10759493670886076
121, 106, 0.02531645569620253
121, -5, 0.02531645569620253
121, 120, 0.02531645569620253
121, 107, 0.012658227848101266
121, 107, 0.012658227848101266
121, 104, 0.012658227848101266
121, 99, 0.02531645569620253
121, 102, 0.02531645569620253
121, 98, 0.006329113924050633
121, 106, 0.0189873417721519
121, 108, 0.006329113924050633
121, -3, 0.012658227848101266
-3, 98, 0.18421052631578946
-3, -2, 0.18421052631578946
-3, 10, 0.07894736842105263
-3, 46, 0.05263157894736842
-3, -5, 0.02631578947368421
-3, 46, 0.15789473684210525
-3, 106, 0.02631578947368421
-3, -1, 0.05263157894736842
-3, 122, 0.02631578947368421
-3, 98, 0.15789473684210525
-3, 104, 0.02631578947368421
-3, -1, 0.02631578947368421
98, 46, 0.12
98, 121, 0.04
98, -2, 0.21333333333333335
98, -1, 0.17333333333333334
98, 46, 0.09333333333333334
98, -1, 0.02666666666666667
98, 10, 0.013333333333333334
98, 32, 0.013333333333333334
98, 116, 0.013333333333333334
98, 32, 0.02666666666666667
98, -2, 0.17333333333333334
98, 10, 0.02666666666666667
98, 104, 0.013333333333333334
98, 116, 0.02666666666666667
98, 122, 0.013333333333333334
98, 108, 0.013333333333333334
46, 102, 0.04310344827586207
46, 32, 0.06465517241379311
46, 10, 0.034482758620689655
46, 122, 0.04310344827586207
46, 106, 0.1724137931034483
46, 106, 0.09913793103448276
46, 118, 0.01293103448275862
46, 118, 0.021551724137931036
46, 122, 0.07327586206896551
46, -1, 0.004310344827586207
46, -5, 0.04741379310344827
46, 32, 0.06465517241379311
46, 120, 0.01293103448275862
46, 103, 0.01293103448275862
46, -2, 0.04310344827586207
46, -2, 0.02586206896551724
46, 104, 0.004310344827586207
46, 10, 0.0603448275862069
46, 107, 0.034482758620689655
46, 99, 0.01293103448275862
46, 107, 0.008620689655172414
46, 103, 0.008620689655172414
46, -5, 0.008620689655172414
46, 46, 0.004310344827586207
46, -3, 0.004310344827586207
46, 121, 0.004310344827586207
46, 102, 0.034482758620689655
46, 108, 0.01293103448275862
46, 115, 0.008620689655172414
46, 99, 0.008620689655172414
46, 115, 0.004310344827586207
46, 109, 0.004310344827586207
112, 112, 0.5
112, 112, 0.25
112, 108, 0.25
-2, 107, 0.02464788732394366
-2, 122, 0.0880281690140845
-2, 106, 0.04929577464788732
-2, 108, 0.0035211267605633804
-2, 104, 0.02112676056338028
-2, -2, 0.10211267605633803
-2, 121, 0.06690140845070422
-2, 103, 0.02112676056338028
-2, 32, 0.02112676056338028
-2, 121, 0.07394366197183098
-2, 32, 0.02112676056338028
-2, -2, 0.06690140845070422
-2, -5, 0.01056338028169014
-2, 122, 0.08450704225352113
-2, 120, 0.02112676056338028
-2, 98, 0.007042253521126761
-2, -5, 0.01056338028169014
-2, 10, 0.02112676056338028
-2, -1, 0.03169014084507042
-2, -3, 0.01056338028169014
-2, 120, 0.028169014084507043
-2, 105, 0.0035211267605633804
-2, 106, 0.014084507042253521
-2, -1, 0.04225352112676056
-2, 116, 0.017605633802816902
