"positive", "compare_value", "same_user", "same_device"
1, 0.810706298590178, 1, 1
1, 0.8515876457872834, 1, 1
0, 0.8366449204199344, 1, 0
0, 0.8440021417100665, 1, 0
0, 0.8387160273876844, 1, 0
0, 0.8499498065361605, 1, 0
0, 0.8369564122811389, 1, 0
0, 0.856387243908927, 1, 0
0, 0.8545415234945842, 1, 0
0, 0.8461644694851687, 1, 0
0, 0.846310203322238, 1, 0
0, 0.8389750604185093, 1, 0
0, 0.8313498746055222, 1, 0
0, 0.8289428804056889, 1, 0
0, 0.8382803380567269, 1, 0
0, 0.851170643845565, 1, 0
0, 0.8451200082930508, 1, 0
0, 0.84309683890602, 1, 0
0, 0.8522240412852002, 1, 0
0, 0.8639164670074204, 1, 0
0, 0.812494696501447, 0, 1
0, 0.8022833113751717, 0, 1
0, 0.7849303606554541, 0, 1
0, 0.8444083248980653, 1, 0
0, 0.7871316323598483, 1, 0
0, 0.8109210001141682, 1, 0
0, 0.7741288563049931, 1, 0
0, 0.7856185248663938, 0, 0
0, 0.7536648875796996, 0, 0
0, 0.7807485486516687, 0, 0
0, 0.841515326413169, 0, 0
0, 0.8226501658432246, 0, 0
0, 0.5398981125238075, 0, 0
0, 0.6436226020900679, 0, 0
0, 0.630444137459863, 0, 0
0, 0.8376724995578404, 0, 0
0, 0.8243134647567129, 0, 0
0, 0.838072843331022, 0, 0
0, 0.8263552658124127, 0, 0
0, 0.8028730950239538, 0, 0
0, 0.8455621787415522, 0, 0
0, 0.830181018206939, 0, 0
0, 0.8382119782481523, 0, 0
0, 0.824206288492654, 1, 0
0, 0.8150438711763429, 1, 0
0, 0.8290439713089555, 1, 0
0, 0.7523416611878984, 1, 0
0, 0.8260368559740388, 1, 0
0, 0.8000665158412507, 1, 0
0, 0.8157895474968526, 1, 0
0, 0.8221190633703068, 1, 0
0, 0.8137859530339732, 1, 0
0, 0.8124391660798839, 1, 0
0, 0.78606168578093, 1, 0
0, 0.8199942575742128, 1, 0
0, 0.8262481917003082, 1, 0
0, 0.8137653969415706, 1, 0
0, 0.8058813561238622, 1, 0
0, 0.7942504400809933, 1, 0
0, 0.833822901954089, 1, 0
0, 0.8153203312677242, 1, 0
0, 0.6665195808811178, 0, 1
0, 0.6874052861153245, 0, 1
0, 0.6629075241207594, 0, 1
0, 0.7100931892989013, 0, 0
0, 0.7227381952392367, 0, 0
0, 0.7859047028271499, 0, 0
