W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0.7562,0.658,0,1,0,1,0,1,1.000,-0.438,0,1,0,1,0.9447,0.2399,0.9998,0.1673,0.9998,-0.711,0,1,0,1,0.9011,0.0375,0.8489,0.2153,1.000,0.3414,0,1,0,1,0.9998,-0.05,0.9997,0.6558,0.0833,0.0833,0.9360,0.6379,0,1,0,1,0,1,1.000,0.6636
3,5,1500,0.7656,0.6378,0,1,0,1,0,1,0.9999,-0.418,0.9986,0.5553,0,1,1.000,0.4146,1.000,0.3112,0.9997,-1.255,0,1,0,1,1.000,0.6092,0.6676,-0.157,0.9991,0.4627,0,1,0,1,0.9999,0.2162,1.000,0.6396,0.0833,0.0833,0.9919,0.6248,0,1,0,1,0,1,0.9811,0.6383
3,5,2000,0.778,0.6248,0,1,0,1,0,1,0.9999,-0.762,0.9981,0.4907,0,1,1.000,0.5314,1.000,0.2872,1.000,-1.345,0,1,0,1,0.9999,0.5404,0.6752,-0.179,0.9999,0.4214,0,1,0,1,0.9999,0.272,1.000,0.6259,0.0833,0.0833,0.9997,0.6508,0,1,0,1,0,1,0.9996,0.6404
3,6,1000,0.6796,0.6268,0,1,0,1,0,1,0.9999,0.1325,0,1,0,1,0.9999,0.4156,0.9999,0.3897,0.9984,0.2733,0,1,0,1,0.9999,0.7333,0.9426,0.6624,0.4547,-0.130,0,1,0,1,0.9881,0.4811,1.000,0.6869,0.2406,-0.005,0.7443,0.6108,0,1,0,1,0,1,0.8247,0.5518
3,6,1500,0.7993,0.665,0,1,0,1,0,1,0.9997,0.3122,1.000,0.9544,0,1,1.000,0.358,1.000,0.3403,0.9996,-0.093,0,1,0,1,1.000,0.7066,0.7880,0.4803,0.4547,-0.123,0,1,0,1,0.9196,0.6331,1.000,0.6654,0.2886,0.0731,0.6905,0.2465,0,1,0,1,0,1,0.8981,0.6067
3,6,2000,0.8029,0.6582,0,1,0,1,0,1,0.9999,0.1667,1.000,0.9399,0,1,1.000,0.2924,1.000,0.5203,0.9999,0.0337,0,1,0,1,1.000,0.6866,0.7824,0.4747,0.5026,-0.126,0,1,0,1,0.9238,0.6546,0.9999,0.6469,0.3214,0.094,0.6945,0.1731,0,1,0,1,0,1,0.9386,0.6219
3,7,1000,0.6706,0.6253,0,1,0,1,0,1,0.9997,0.5583,0,1,0,1,1.000,0.518,0.9999,0.2794,0.5625,-0.709,0,1,0,1,0.9997,0.654,0.9999,0.3586,0.9999,0.1057,0,1,0,1,0.9997,-0.147,1.000,0.5854,0.9990,-2.375,0.7154,0.5318,0,1,0,1,0,1,0.7776,0.5336
3,7,1500,0.7522,0.625,0,1,0,1,0,1,0.9999,0.5825,0.3052,0.2267,0,1,1.000,0.7395,0.9999,0.246,0.5548,-0.931,0,1,0,1,1.000,0.7203,1.000,0.2883,1.000,0.1286,0,1,0,1,1.000,0.1483,1.000,0.6141,0.9989,-1.812,0.7327,0.2649,0,1,0,1,0,1,0.7616,0.5772
3,7,2000,0.7525,0.6301,0,1,0,1,0,1,0.9999,0.4729,0.3770,0.2315,0,1,1.000,0.7094,1.000,0.0806,0.5867,-0.818,0,1,0,1,1.000,0.715,1.000,0.3344,1.000,0.1708,0,1,0,1,0.9999,0.1608,1.000,0.6022,0.9956,-2.237,0.6775,0.1333,0,1,0,1,0,1,0.7922,0.6094
