W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,5,1000,0.9999,0.5854,0.6959,0,0,0,0,0,0,0,0,0,0.9999,-0.768,0.03930,0.7998,-0.458,0.03791,0.7373,0.6462,0.05486,1.000,0.6437,0.9684,0.9999,0.382,0.7412,1.000,-0.457,0.5910,0.9945,-3.356,0.2126,0.6668,0.5226,0,0.9999,0.3382,0.6148,0.7389,-0.366,0.0004690,1.000,-1.195,0.1882,0.9135,0.3727,0.5026,0.8658,0.4713,0.1508,1.000,-0.398,0.6375,0.9999,0.5715,0.7197,0.9997,0.1679,0.1568,0.7015,0.2045,0.0009363,0,0,0,0,0,0,0,0,0,0.9998,0.5318,0.6888
3,5,1500,1.000,0.600,0.8998,0,0,0,0,0,0,0,0,0,1.000,-0.428,0.3503,0.9983,-0.429,0.2544,0.8108,0.6394,0.4182,1.000,0.6098,0.8881,1.000,0.1508,0.3816,0.9998,-0.862,0.5697,0.9967,-3.618,0.1731,0.9367,0.6313,0.2812,1.000,0.5138,0.8679,0.775,-0.244,0.005312,0.9999,-1.02,0.3082,0.9994,0.6579,0.9876,0.9280,0.5345,0.3755,1.000,-0.21,0.7379,0.9997,0.4108,0.5184,0.9994,0.1968,0.2683,0.9680,0.2079,0.1963,0,0,0,0,0,0,0,0,0,0.9997,0.5616,0.6862
3,5,2000,1.000,0.5994,0.9139,0,0,0,0,0,0,0,0,0,1.000,-0.313,0.3894,0.9991,-0.345,0.2708,0.8818,0.6188,0.5641,1.000,0.6315,0.9797,0.9999,0.2728,0.3871,0.9999,-0.837,0.4810,1.000,-3.452,0.1393,0.9994,0.6102,0.3406,1.000,0.486,0.8093,0.7038,-0.496,0.0001173,0.9999,-1.176,0.2421,0.9998,0.6043,0.9790,0.8447,0.5467,0.3793,1.000,-0.048,0.7623,0.9998,0.4219,0.4379,0.9988,0.239,0.2873,0.8067,0.1525,0.08121,0,0,0,0,0,0,0,0,0,0.9594,0.5325,0.7119
3,6,1000,1.000,0.5447,0.8196,0,0,0,0,0,0,0,0,0,1.000,0.1781,0.7701,1.000,0.278,0.2722,0.8244,0.7645,1,0.9999,0.5192,0.5448,1.000,0.3921,0.8309,1.000,0.252,0.6816,0.9998,0.5688,0.4957,0.7500,0.6378,0.2368,1.000,0.6266,0.9446,0.8972,0.5003,0.2714,0.5969,0.1562,0,0.7176,0.2418,0.04157,0.5703,0.4412,0,1.000,0.5894,0.7470,1.000,0.7109,1,0.4261,0.1724,0,0.7183,-0.108,0.006086,0,0,0,0,0,0,0,0,0,1.000,0.6328,0.9099
3,6,1500,1.000,0.5708,0.9259,0,0,0,0,0,0,0,0,0,1.000,0.208,0.7445,0.9996,0.4131,0.4340,0.8165,0.7198,1,1.000,0.5024,0.4703,1.000,0.4046,0.7931,1.000,0.0745,0.6443,0.9983,0.6112,0.6851,0.8593,0.6965,0.9426,0.9995,0.5690,0.8601,0.9905,0.3781,0.4456,0.6223,0.2545,0,0.6053,0.2053,0,0.6364,0.4673,0,1.000,0.60,0.8333,0.9405,0.6634,0.9184,0.4356,0.1816,0,0.7178,-0.364,0.002936,0,0,0,0,0,0,0,0,0,0.9999,0.6329,0.8861
3,6,2000,0.9996,0.5764,0.8201,0,0,0,0,0,0,0,0,0,1.000,0.2162,0.7539,0.9997,0.4786,0.5151,0.8235,0.6920,0.9573,0.9999,0.5376,0.5531,1.000,0.4641,0.7282,1.000,0.1190,0.6987,0.9999,0.5970,0.6143,0.9132,0.7058,1,0.9991,0.565,0.8437,0.9998,0.4197,0.4997,0.6069,0.2531,0,0.6109,0.1942,0,0.6476,0.4579,0,0.9999,0.6121,0.8888,0.8958,0.6652,0.9342,0.4076,0.1721,0,0.6719,-0.443,0,0,0,0,0,0,0,0,0,0,1.000,0.6323,0.9079
3,7,1000,0.9990,0.6888,0.9744,0,0,0,0,0,0,0,0,0,0.9476,0.4930,0.6376,0.2534,-0.373,0,0.7744,0.7289,1,1.000,0.5588,0.8325,1.000,0.5791,0.9020,0.8755,-0.069,0.07736,0.9978,-0.391,0.1909,0.7674,0.6634,0.5088,1.000,0.5567,0.9527,0.7715,-0.019,0.009223,0.9999,0.1719,0.2126,0.3346,-0.142,0,0.6391,0.4354,0,0.9998,0.5414,0.7717,1.000,0.7003,1,0.5086,-0.051,0,0.6931,0.0858,0,0,0,0,0,0,0,0,0,0,0.9999,0.5905,0.8578
3,7,1500,0.9987,0.6810,0.9365,0,0,0,0,0,0,0,0,0,0.9991,0.5309,0.7518,0.4845,-0.309,0,0.7798,0.7238,1,0.9997,0.6268,0.9568,1.000,0.3697,0.5359,0.7485,-0.137,0.004654,0.9998,-0.309,0.1538,0.7288,0.6193,0.1307,1.000,0.3625,0.8981,0.7582,-0.044,0.001207,0.8632,0.2014,0.1321,0.3531,-0.079,0,0.6571,0.3994,0,1.000,0.5283,0.8713,1.000,0.6943,0.9987,0.5389,-0.035,0,0.7913,-0.07,0.04488,0,0,0,0,0,0,0,0,0,1.000,0.6355,0.8770
3,7,2000,1.000,0.6826,0.9432,0,0,0,0,0,0,0,0,0,0.9961,0.4242,0.6463,0.4948,-0.338,0,0.801,0.7317,1,1.000,0.6418,0.9629,1.000,0.2497,0.3428,0.7465,-0.125,0.005875,0.9991,-0.181,0.1518,0.7637,0.6524,0.4269,0.9999,0.3339,0.9185,0.7348,-0.167,0.001173,0.8604,0.2089,0.1389,0.3706,-0.099,0,0.6572,0.3831,0,1.000,0.4614,0.7933,1.000,0.7031,1,0.4869,-0.062,0,0.8026,-0.045,0.05045,0,0,0,0,0,0,0,0,0,0.9999,0.6318,0.8854
