W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,5,1000,0.9996,0.6636,0,1,0,1,0,1,0.9998,-0.756,0.9940,0.2423,0,1,1.000,0.5908,1.000,0.2457,0.9999,-0.32,0,1,0,1,1.000,0.5023,0.6896,-0.089,0.9999,-0.547,0.7772,0.5568,0,1,0.9999,-0.158,1.000,0.5408,0.8006,-0.027,0.8539,0.538,0,1,0,1,0,1,0.9999,0.6661
3,5,1500,0.9973,0.6651,0,1,0,1,0,1,0.9999,-0.892,0.9721,-0.297,0,1,0.9999,0.6349,0.9999,0.3628,0.9999,-1.125,0.6815,0.4802,0,1,1.000,0.6022,0.7106,-0.162,0.9989,-0.61,0.8954,0.6036,0,1,0.9994,-0.007,0.9998,0.494,0.9528,-0.155,0.7328,0.1617,0,1,0,1,0,1,0.9998,0.643
3,5,2000,0.9999,0.5407,0,1,0,1,0,1,1.000,-0.427,0.9995,-0.095,0,1,0.9999,0.636,1.000,0.4096,0.9998,-1.228,0.6848,0.3508,0,1,1.000,0.5747,0.684,-0.282,0.9999,-0.512,0.8862,0.5901,0,1,1.000,0.1788,0.9993,0.4404,0.9462,-0.135,0.7556,0.1719,0,1,0,1,0,1,0.9998,0.6572
3,6,1000,0.9999,0.5778,0,1,0,1,0,1,1.000,-0.232,1.000,0.8420,0,1,1.000,0.39,1.000,0.43,1.000,0.3297,0,1,0,1,1.000,0.6244,0.9429,0.635,0.9614,0.4364,0.4130,0.2467,0,1,1.000,0.5791,1.000,0.7496,0.5030,0.1958,0.6792,0.1928,0,1,0,1,0,1,1.000,0.5931
3,6,1500,0.9959,0.4665,0,1,0,1,0,1,1.000,0.0717,1.000,0.6287,0,1,1.000,0.522,1.000,-0.031,1.000,0.2267,0.6875,0.6294,0,1,0.9999,0.5232,1.000,0.7723,0.9999,0.5573,0.3278,0.1709,0,1,1.000,0.4981,1.000,0.7772,0.4003,0.1706,0.7018,0.1008,0,1,0,1,0,1,0.9998,0.6198
3,6,2000,0.9974,0.3808,0,1,0,1,0,1,1.000,-0.132,0.9999,0.6934,0,1,1.000,0.584,1.000,0.1207,0.9997,0.2903,0.6803,0.6088,0,1,1.000,0.6353,1.000,0.6906,1.000,0.5412,0.3767,0.1933,0,1,0.9999,0.4861,1.000,0.7786,0.4212,0.1876,0.6667,0.065,0,1,0,1,0,1,0.9999,0.6558
3,7,1000,0.9994,0.7498,0,1,0,1,0,1,1.000,0.5912,0.3441,0.1006,0,1,1.000,0.5886,0.9999,0.3334,0.6262,-0.561,0,1,0,1,0.9935,0.2148,0.8676,-0.248,0.9998,0.1570,0.2354,0.1377,0,1,0.9999,0.4954,1.000,0.7429,0.4814,-0.097,0.7122,0.333,0,1,0,1,0,1,1.000,0.6658
3,7,1500,0.9999,0.7418,0,1,0,1,0,1,0.9997,0.6006,0.3682,-0.167,0,1,1.000,0.7356,1.000,0.2917,0.7352,-0.404,0.3507,0.2436,0,1,0.9960,0.1518,0.8252,-0.108,1.000,0.2046,0.2637,0.1289,0,1,1.000,0.5003,1.000,0.7386,0.5943,-0.103,0.7372,0.1895,0,1,0,1,0,1,1.000,0.6647
3,7,2000,0.9993,0.6792,0,1,0,1,0,1,1.000,0.5803,0.3597,-0.142,0,1,1.000,0.7264,0.9999,0.1554,0.7885,-0.36,0.4011,0.2461,0,1,0.9987,0.1254,0.8134,-0.108,0.9998,0.22,0.2633,0.0853,0,1,0.9626,0.5033,1.000,0.7381,0.4717,-0.224,0.7185,0.2486,0,1,0,1,0,1,0.9942,0.6637
